msp,sum,dif,species
msp_0020,2,2,Clostridium clostridioforme 1
msp_0353,2,-2,unclassified
msp_0180,2,2,Blautia producta
msp_0227,2,-2,Eubacterium sp. 36_13 & CAG:86
msp_0056,2,2,unclassified Clostridiales
msp_0820,2,-2,unclassified Clostridiales
msp_0060,2,-2,Firmicutes bacterium CAG:95
msp_0048,2,-2,Eubacterium sp. CAG:38
