DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,all_diseases
COLOR,#070007
FIELD_LABELS,Depleted,Enriched
FIELD_COLORS,#ff0000,#0000ff
LEGEND_TITLE,Number_of_Cohorts
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ff0000,#0000ff
LEGEND_LABELS,depleted,enriched
DATASET_SCALE,0,5,10
ALIGN_FIELDS,0
WIDTH,200
MARGIN,7
DATA
msp_1652,0,1
msp_0153,0,5
msp_0639,0,1
msp_0016,1,1
msp_0025,3,1
msp_0081,0,1
msp_1641,5,0
msp_0141,3,0
msp_1156,4,4
msp_1173c,1,0
msp_0916,1,0
msp_0432,0,1
msp_0908,1,0
msp_1336,0,1
msp_0563,3,0
msp_0663,3,0
msp_0077,1,1
msp_0893,1,0
msp_0225,1,2
msp_0722,5,0
msp_0766,0,2
msp_0588,0,1
msp_0426,0,1
msp_1287,2,0
msp_0622,1,1
msp_1826,0,1
msp_0067,0,1
msp_0045,5,0
msp_0142,4,0
msp_1006,0,4
msp_0613,0,2
msp_0364,1,2
msp_0194,2,0
msp_1279,0,1
msp_0353,2,0
msp_0362,0,1
msp_0071,1,1
msp_1854,1,0
msp_0831,0,1
msp_1177,0,1
msp_0725,0,1
msp_0356,1,1
msp_0859,0,1
msp_0188,6,0
msp_0164,3,0
msp_1428,1,0
msp_0074,1,0
msp_0331,0,6
msp_0828,0,2
msp_0596,2,0
msp_0389,1,0
msp_0013,2,0
msp_0591,2,0
msp_0050,5,0
msp_0452,1,0
msp_0894,0,1
msp_0144,3,1
msp_1603c,0,2
msp_0529,1,1
msp_0234,0,1
msp_0250,1,0
msp_0713,0,4
msp_0419,0,1
msp_0487,1,0
msp_0471,0,2
msp_0197,0,1
msp_0440,2,2
msp_0200,0,5
msp_0021,3,0
msp_0486,0,1
msp_1060c,1,3
msp_0049,1,5
msp_1111,1,1
msp_0015,3,0
msp_0296,3,0
msp_1643c,4,0
msp_0263,1,0
msp_0566,1,0
msp_0463,1,0
msp_0679,1,0
msp_0602c,1,3
msp_1599,0,1
msp_1158,0,1
msp_0506,6,1
msp_1347c,2,1
msp_0412,0,1
msp_0901,0,1
msp_0781,1,1
msp_0027,0,1
msp_1564,1,0
msp_1021,1,0
msp_1801,0,1
msp_0457,3,0
msp_0227,4,0
msp_0237,1,0
msp_0560,0,2
msp_1473c,0,1
msp_0172,0,5
msp_0586,0,1
msp_0147,0,3
msp_1138,0,1
msp_0318,2,0
msp_1400,0,1
msp_0903,1,0
msp_0630,2,0
msp_0776,1,0
msp_0541,0,2
msp_1789,0,1
msp_0035,0,1
msp_1682c,0,1
msp_1420,0,1
msp_0138,1,0
msp_0221,0,2
msp_0437c,2,1
msp_0213,0,6
msp_0804,1,0
msp_0079,3,0
msp_0699,1,0
msp_0581,1,0
msp_0019,0,1
msp_0056,0,7
msp_0151,0,1
msp_0229,0,1
msp_1191c,0,4
msp_0032,2,2
msp_0309,0,1
msp_0277,0,1
msp_0985,0,1
msp_0521,2,0
msp_1160,0,1
msp_0105,0,1
msp_1329,0,1
msp_0715c,0,2
msp_0546,2,0
msp_0040,3,1
msp_1684,1,2
msp_0062,3,3
msp_0047,1,0
msp_0005,0,5
msp_0130,1,0
msp_0601c,0,1
msp_0103,0,3
msp_1432,0,1
msp_0417,0,1
msp_1671c,0,1
msp_0337,2,0
msp_0976,0,1
msp_0845,1,0
msp_1515,0,1
msp_0655,4,0
msp_1605,0,1
msp_0422,6,1
msp_0554,2,0
msp_0185,1,0
msp_0348,1,0
msp_1600,0,1
msp_0010,0,1
msp_0291,2,0
msp_0648,0,1
msp_1323,1,0
msp_0110,0,1
msp_0189,1,0
msp_0977,1,4
