	msp	sum	dif
255	msp_1785	2	2
256	msp_1477	1	1
257	msp_1515	1	1
258	msp_0064	1	1
259	msp_1976	1	1
260	msp_0197	1	1
261	msp_1195	1	1
262	msp_0845	1	-1
263	msp_0542	1	-1
264	msp_0551	1	-1
265	msp_0833	6	-4
266	msp_0579	1	1
267	msp_0296	3	-3
268	msp_0068	3	-3
269	msp_1453	6	2
270	msp_0884	2	2
271	msp_0655	4	-4
272	msp_0916	1	-1
273	msp_1790	2	2
274	msp_0331	6	6
275	msp_0616	2	2
276	msp_1234	8	4
277	msp_0012	2	2
278	msp_0086	8	8
279	msp_0373	2	0
280	msp_1349	2	0
281	msp_0943	1	1
282	msp_0142	4	-4
283	msp_1432	1	1
284	msp_0449	2	-2
285	msp_1789	1	1
286	msp_0021	3	-3
287	msp_1491	1	-1
288	msp_1287	2	-2
289	msp_0903	1	-1
290	msp_0530	3	-3
291	msp_1622	1	-1
292	msp_0959	4	-4
293	msp_0463	1	-1
294	msp_1763	1	1
295	msp_0028	1	-1
296	msp_0596	2	-2
297	msp_0109	2	2
298	msp_0541	2	2
299	msp_1400	1	1
300	msp_0290	1	1
301	msp_0238	2	0
302	msp_0879	1	-1
303	msp_0769	3	1
304	msp_0052	4	4
305	msp_0044	5	5
306	msp_0408	1	1
307	msp_0319	1	-1
308	msp_0610	9	9
309	msp_0041	3	1
310	msp_0861	4	2
311	msp_1219	1	1
312	msp_1418c	2	0
313	msp_0656	1	1
314	msp_1342	1	-1
315	msp_0081	1	1
316	msp_0761	1	-1
317	msp_0581	1	-1
318	msp_0424	3	-1
319	msp_0586	1	1
320	msp_0396	3	-3
321	msp_0003	2	-2
322	msp_1403	4	-4
323	msp_1600	1	1
324	msp_0035	1	1
325	msp_0025	4	-2
326	msp_0380	8	-4
327	msp_0723	1	-1
328	msp_0471	2	2
329	msp_0019	1	1
330	msp_1473c	1	1
331	msp_0166	4	-2
332	msp_1279	1	1
333	msp_0095	2	2
334	msp_0065	2	0
335	msp_0748	1	-1
336	msp_0439	1	-1
337	msp_0172	5	5
338	msp_0337	2	-2
339	msp_0910	2	-2
340	msp_0699	1	-1
341	msp_1718	1	1
342	msp_1013	1	1
343	msp_0847	1	-1
344	msp_0591	2	-2
345	msp_0234	1	1
346	msp_1323	1	-1
347	msp_0804	1	-1
348	msp_0663	3	-3
349	msp_0456	1	-1
350	msp_0250	1	-1
351	msp_0648	1	1
352	msp_0232	1	1
353	msp_1325	3	3
354	msp_0877	1	-1
355	msp_0573	3	3
356	msp_0388	2	0
357	msp_1356	3	-1
358	msp_1599	1	1
359	msp_0808	1	1
360	msp_0908	1	-1
361	msp_0419	1	1
362	msp_0740	1	1
363	msp_0930	2	-2
364	msp_0494	1	1
365	msp_1420	1	1
366	msp_0317	1	1
367	msp_0038	1	-1
368	msp_1302	1	-1
369	msp_0560	2	2
370	msp_0521	2	-2
371	msp_0885	3	-3
372	msp_0719	1	1
373	msp_1320c	1	1
374	msp_0318	2	-2
375	msp_0442	5	-1
376	msp_0546	2	-2
377	msp_0487	1	-1
378	msp_1783	2	2
379	msp_0623	1	-1
380	msp_0357	1	1
381	msp_0188	6	-6
382	msp_0422	7	-5
383	msp_0691	1	1
384	msp_1173c	1	-1
385	msp_0737	1	1
386	msp_0015	3	-3
387	msp_0040	4	-2
388	msp_1329	1	1
389	msp_0077	2	0
390	msp_0221	2	2
391	msp_0180	4	4
392	msp_0979	1	-1
393	msp_0881	1	1
394	msp_0346	3	-3
395	msp_1968	1	1
396	msp_0722	5	-5
397	msp_0961	2	-2
398	msp_0154	4	-2
399	msp_0604	4	-4
400	msp_0747	4	-4
401	msp_0144	4	-2
402	msp_0381	1	-1
403	msp_0079	3	-3
404	msp_0716	2	-2
405	msp_0050	5	-5
406	msp_0089	3	1
407	msp_0032	4	0
408	msp_0244	1	1
409	msp_0760	1	-1
410	msp_1564	1	-1
411	msp_0362	1	1
412	msp_0147	3	3
413	msp_0452	1	-1
414	msp_1191c	4	4
415	msp_0436	6	-6
416	msp_0017	2	-2
417	msp_0773	2	-2
418	msp_0200	5	5
419	msp_1773	1	1
420	msp_0685	1	-1
421	msp_1643c	4	-4
422	msp_0945	2	-2
423	msp_0392	1	-1
424	msp_0650	2	-2
425	msp_1826	1	1
426	msp_1131	1	1
427	msp_0588	1	1
428	msp_0811	3	-1
429	msp_1118	1	1
430	msp_0024	4	4
431	msp_0055	1	1
432	msp_1682c	1	1
433	msp_0563	3	-3
434	msp_0490	2	0
435	msp_0183	2	0
436	msp_0602c	4	2
437	msp_0572	4	-4
438	msp_0621	4	-2
439	msp_0766	2	2
440	msp_1570	1	1
441	msp_0512	1	-1
442	msp_1533	1	-1
443	msp_0404	1	-1
444	msp_0594	2	0
445	msp_0554	2	-2
446	msp_0697	2	-2
447	msp_0306	3	-3
448	msp_0334	1	1
449	msp_0437c	3	-1
450	msp_0212	2	0
451	msp_0426	1	1
452	msp_0477	1	-1
453	msp_1608c	1	-1
454	msp_0067	1	1
455	msp_0440	4	0
456	msp_0129	2	0
457	msp_0005	5	5
458	msp_0205	1	-1
459	msp_0385	1	1
460	msp_0271	1	-1
461	msp_1005	2	-2
462	msp_1006	4	4
463	msp_1127	4	2
464	msp_0781	2	0
465	msp_1854	1	-1
466	msp_0307	3	-3
467	msp_0776	1	-1
468	msp_0305	3	-3
