gp CRC adenoma NAFLD CD PD IGT T2D GDM UC ACVD LC RA atherosclerosis T1D "acute diarrhea" VKH SPA ME_CFS melanoma BD NSCLC RCC "small adenoma" "large adenoma" "advanced adenoma"
msp_0895 -0.0016923029739983938 0.0 0.0 0.0 0.0 0.0 0.007475731404892299 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001362419779846149 0.0 0.0 0.0 -0.03701269829784503 0.0 0.0 0.0 0.0 0.0
msp_0221 -0.5873169915450386 0.06479063913702995 -0.06771836189914568 -0.004013746730806478 0.0005737423380870059 -0.013006093917180791 -0.030568225673690497 0.00043236932820266035 0.04669230280255043 -0.011983503852625475 0.042268411590505414 -0.028233844463516802 0.0 -0.016408034201377007 0.0 -0.03684931743248326 0.0009336808702593471 0.003936859200096041 0.003303219687780868 0.0 -0.028040216253139714 0.011303976872833375 0.002855487252304926 -0.0004808616467707415 -0.003934246400371899
msp_0202 0.13334493947210896 -0.08558835076324686 -0.01359804443856195 -0.00871841167224949 -0.016899845007636062 0.0 0.015272832508966265 0.012239776879309942 -0.007782740404852028 0.07647704023606565 0.0581043275595427 0.0808460575205794 -0.010302153479236813 -0.017083845909503535 -0.01650495775829109 0.0015530659626372138 -0.031229048600008743 0.00701961878830357 -0.01469725254738354 -0.0013900493768370043 -0.014517396108762601 -0.016231067507528 -0.015783623067183537 -0.0026774796840586344 -0.0036225808079236826
msp_0396 -0.007867232268498099 0.00075608481606244 -0.04461856163998966 0.011700541623318362 -0.007762615029956492 0.008427228233017125 -0.014039840890459256 0.013467278215174098 -0.015476562347939725 -0.021181409843192483 0.010326245411015346 -0.011771551933099717 -0.0033663286302175206 0.022266151722314387 -0.007828249158249156 -0.015641161330720472 0.000829899329696005 0.0016317103906541197 0.018924176699134754 -0.0025232616317989003 0.010363121215945927 -0.00714980802305311 -0.0026967279007647357 0.008307698747903838 0.08213266666128549
msp_0025 -0.11380329914417066 0.026763713241647467 -0.02688923897384484 0.03240556616980832 0.0993477907232004 0.003726962586292349 0.08491460735193333 -0.011026768173293034 0.0010280322881840893 -0.11020868956101952 -0.0036244586619214067 0.02499487300819117 0.0016226070226070216 -0.00406802837727631 -0.00299152859486193 -0.027762520632188183 -0.07507419064311373 0.010424795250972436 0.019821700083042418 0.019722032215241412 0.30982059804995765 0.036059518386047 -0.012770584373103596 -0.007214050808738751 0.01656683453237016
msp_0089 -0.12595155247546483 -0.0004535873591871326 0.007009802072499913 -0.008330643919563821 -0.0025497337175246866 0.007703430859972489 -0.047462931999184145 -0.0001645092962348951 -0.024627219513227563 -0.055609689379804234 -0.035934949745851257 0.01417910645700492 0.008613449050949053 0.00797614123920708 0.007072222222222219 0.009262791156492933 -0.045154360303023645 0.039419961925287614 0.011503548147243081 -0.008787418958165566 0.15157580524935532 0.05590076303687445 0.009496891035988712 0.003541465557313725 -0.008582280562118256
msp_0287 -0.047944846461827895 -0.03627589981678968 -0.03360852459169015 0.02019850380782361 -0.0013509644457216953 -0.024196877737365778 -0.07386467962060139 0.013326954023041303 -0.02248530346989132 0.0859553409730295 -0.06322405325239376 -0.006016844246872531 -0.0036937796771130105 -0.011399806116268524 -0.01919888167388168 -0.019761675549051127 -0.06805404225827606 0.015583409734229855 -0.03568476114690352 0.0048502000828237225 0.041710998505938915 -0.0007389919494231955 -0.007808515839716071 0.0013606879715771245 -0.04258121135959394
msp_0230 0.08941865157892645 0.01357343752784903 0.04028990510907205 0.0 0.05060835096508668 0.006264409099334685 0.022860004010291188 0.002122222222222221 -0.0018749059974620974 -0.00738977779968265 -0.10678965212975912 -0.09776645041058815 0.0077340790857804605 0.00016895982680908676 0.0 0.00511614651981207 0.008132822513320466 -0.01213886920889316 -0.001613850404269037 0.0050863095238095285 0.11664560907734456 0.032067407234084945 -0.0024825128402577714 0.0 0.03693392699197189
msp_0225 -0.023650652232424747 -0.0008842278791001653 -0.1457892400157899 0.09550851953286942 -0.020575895086102695 -0.008445853096755367 -0.1402008906980452 0.007075338549309714 0.019442877136197936 0.10965030761538724 -0.018761278244929867 -0.10323067317688651 0.006728302253302255 -0.009136395494980196 -0.037952564102564104 0.023386668133242215 0.010771816250982356 -0.008503964813247722 -0.00641555685322054 -0.018527306956670417 -0.0568448462706235 0.05402953995520662 -0.002363035040492304 0.01585107137354996 -0.048499553842072565
msp_0032 0.037075493041391044 -0.04107378951573721 -0.08481919565793115 0.028396580504650482 -0.057922834928388525 -0.014520902961079137 -0.060053641416870404 0.0006048649315261501 -0.02641972441058243 0.04243976558565723 -0.03384645609489366 0.01348621638154395 -0.0014893518518518487 -0.0019417574849067258 0.003514113355780023 -0.012128720411782793 -0.032097535309728066 0.037773296811975755 0.0039000931488284993 0.012865994642904836 -0.06848615675118072 -0.07478067661112651 0.004509030935894729 -0.006481671079117171 -0.0012134513475657376
