"","Acetobacter","Acholeplasma","Acidaminococcus","Acidiphilium","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobaculum","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeromassilibacillus","Anaerostipes","Anaerotignum","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blastocystis","Blautia","Brachyspira","Butyricicoccus","Butyricimonas","Butyrivibrio","Caecibacter","Campylobacter","Candidatus.Gastranaerophilales","Candidatus.Methanomethylophilus","Catabacter","Catenibacterium","Christensenella","Citrobacter","Cloacibacillus","Clostridioides","Clostridium","Colibacter","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Coraliomargarita","Corallococcus","Cryptobacterium","Culturomica","Dakarella","Desulfovibrio","Dialister","Dielma","Dorea","Drancourtella","Duodenibacillus","Eggerthella","Eisenbergiella","Elusimicrobium","Emergencia","Enorma","Enterobacter","Enterococcus","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Faecalicatena","Faecalicoccus","Faecalitalea","Fenollaria","Flavonifractor","Fournierella","Fusicatenibacter","Fusobacterium","Gemella","Gemmiger","Gordonibacter","Granulicatella","Haemophilus","Hafnia","Helicobacter","Holdemanella","Holdemania","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Libanicoccus","Mailhella","Marvinbryantia","Massiliomicrobiota","Mediterranea","Megamonas","Megasphaera","Merdimonas","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Mitsuokella","Mobilibacterium","Morganella","Mycoplasma","Negativibacillus","Neglecta","Niameybacter","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotellamassilia","Proteus","Providencia","Pseudoflavonifractor","Pyramidobacter","Raoultella","Rikenella","Romboutsia","Roseburia","Ruminiclostridium","Ruminococcus","Ruthenibacterium","Saccharopolyspora","Sanguibacteroides","Selenomonas","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Sphaerochaeta","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Treponema","Turicibacter","Turicimonas","Tyzzerella","Veillonella","Weissella"
"ERS1487607",0,0,0,0,72492,0,0,0,0,0,75580,21380327,0,0,0,0,0,0,0,2451008,0,0,0,0,0,457201708,2682329,781149,2890500,0,7162575,0,2780872,1019296,0,0,0,0,0,0,0,0,0,0,0,375663,0,1152624,25251,3945849,1101232,1147555,0,0,152038,0,598249,852530,4259079,0,1199915,0,0,350355,0,0,0,0,104964,0,29796,96607,55916685,52387595,0,0,0,0,699069,0,3943266,29915,0,15790106,98508,0,357504,0,0,0,364022,24622,146267,246869,1408802,0,0,1791198,1607024,0,0,0,0,0,0,0,0,0,108351224,0,0,0,0,0,0,0,0,0,0,0,0,896725,0,0,4357306,87005,42253726,9437386,563543,0,0,0,11013318,39056,0,0,19353344,0,0,0,0,0,0,0,287956,19054205,1414034,11367318,100241,0,0,0,0,0,0,0,0,47492,0,0,0,0,0,0,0,0,0
"ERS1487593",0,0,0,0,0,0,0,0,0,0,0,876130,0,0,0,0,0,0,0,133087,0,0,0,0,0,295148966,69392,147281,943128,0,158316449,0,13107947,72655,0,0,30926,921658,0,0,0,0,0,0,0,7445664,0,61966,0,6279104,122177,2588792,0,0,0,0,145472,119281,201479,0,1597903,0,27999,0,0,0,0,0,0,0,105412,89614,6555607,8148880,0,0,0,0,863638,0,2948524,260984601,184795,224335,0,0,12717176,0,0,0,0,40330,164491,50122,3914726,0,0,7500970,585360,15167273,0,0,0,0,0,0,0,0,282169,0,0,0,0,0,0,0,0,44527,0,0,0,416428,0,52307,467561,0,2146010,69285,0,0,0,0,6315689,0,0,0,800497,0,0,0,0,0,0,0,116275478,7576799,124543,607118,0,0,0,0,0,0,0,0,0,7196810,0,0,117830,0,0,0,0,1681767,0
"DRS090923",0,0,572958,0,0,0,0,0,0,0,0,51590044,0,0,0,0,0,174925,0,1180226,0,2098648,0,0,0,422851460,5721168,11319776,126772,0,2118442,0,929444,5336128,0,0,0,0,0,0,1476834,75356,570143,0,0,931582,0,442907,0,0,819228,2049925,0,0,0,0,0,0,901439,0,1894987,0,0,27301,0,0,0,0,503956,0,0,84988459,106939215,23438323,0,0,2128143,0,1983136,0,591820,126634,0,1469030,0,0,192272,0,0,0,0,0,0,226448,15971283,0,0,686970,261919,2525067,342373,0,0,0,0,0,0,0,0,196871,0,0,0,0,0,0,0,0,0,0,0,6216537,0,0,38831448,0,14528185,0,0,0,0,0,2857669,0,0,0,0,0,0,0,0,0,0,0,0,6614474,222336,27202009,279790,0,0,0,0,60428,0,0,0,14230090,0,0,10752848,0,0,0,0,37881320,24574
"ERS5083472",0,0,0,0,0,0,578177,0,0,0,0,62237047,546886,0,0,0,0,0,215231,5921820,751237,0,0,0,0,483945261,28664088,9965496,4588799,0,10494514,0,1038536,3559722,0,0,0,0,0,0,0,0,0,0,0,7557451,0,1411471,0,6063265,913063,2491647,0,0,0,0,0,0,27980566,0,1042994,0,0,88157,0,0,0,0,0,0,313436,38663,14918047,46352955,0,0,0,0,16210520,0,107188,0,0,104409,127333,0,0,0,0,0,911060,0,110711,104281,0,0,0,258583,957086,2405631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234348,0,0,7253666,0,0,10906389,0,93433314,0,0,0,0,0,0,312439,0,0,38104,0,0,0,839998,0,0,0,0,7360816,43149602,9398139,3801543,0,0,0,0,0,0,0,0,339057,0,0,11747608,0,0,0,0,0,0
"ERS608599",0,0,0,0,0,0,28883,0,0,0,54177,9769083,245468,0,0,0,0,0,0,67705845,0,0,0,0,0,104673159,0,19107538,27261,0,165552605,0,3609539,0,0,0,0,0,0,0,80077,0,0,0,0,1824820,0,15380731,0,10514369,0,30977021,0,0,0,0,0,0,0,0,38872512,0,0,307007,0,0,0,0,0,156825,22697,43711,65269144,98735968,0,0,402413,0,1090655,0,19381473,0,652883,51854711,0,52200,1681442,772691,0,20357983,350174,0,0,0,0,0,0,75694,205764,1003906,1899498,0,112315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34857,1533979,0,66721,0,0,0,0,0,4416208,0,0,0,0,0,0,0,0,0,0,0,79316,10271149,0,25973506,0,0,0,0,0,0,0,0,0,77566115,0,0,1035098,0,0,0,0,920528,0
"SRS143181",0,0,0,0,0,0,81713,0,0,0,0,17258353,0,0,0,0,0,0,0,258973,0,0,0,0,0,94644343,3129866,1808151,113322,0,599537,0,838252,0,0,0,189987,0,0,0,513592,0,0,0,0,1017159,0,529266,0,0,0,245793,0,0,59154,0,0,0,6889703,0,470418,0,0,0,0,0,0,0,0,0,0,0,3075358,17433428,0,0,91467,0,761789,0,159862,0,0,5432831,0,0,1362198,0,0,0,0,0,881622,0,0,0,0,311376,95290,1382695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580493,0,0,23936823,0,25496782,1628203,269931,0,0,24531,0,0,0,281572,729078093,0,0,0,0,0,0,0,60989,2310331,145973,5212166,0,0,0,0,0,0,0,0,0,163691,0,0,28954684,0,0,0,0,159915,0
"SRS2428409",0,0,26050,0,0,135406,30496618,0,0,0,0,60845654,0,0,36703,0,669962,0,615761,18220912,0,1505419,182285,0,0,82030436,0,92813,0,0,269098420,0,99163,0,0,0,0,0,0,0,0,0,0,0,0,2107349,0,39245,0,3303221,0,1041263,0,0,0,0,0,0,56300,0,21333,0,25691,6052307,25875607,0,0,0,0,5028416,2294557,34112,7738224,260203,271344,0,0,0,14412512,0,51424,0,0,50075,50880,0,0,0,0,0,0,4235504,0,0,0,0,0,23720274,0,47371578,622676,0,0,0,0,0,1190024,0,0,38636,0,0,0,0,0,0,0,0,0,7241606,0,2571974,0,0,2942893,0,22197965,0,332406,0,42908,0,8546764,67047,0,0,275488,0,0,0,0,0,0,0,0,9055896,1373065,193216,12436417,0,0,0,6432241,0,0,0,0,123621669,0,0,0,0,0,0,0,0,0
"ERS1343415",0,0,0,0,0,0,0,0,0,0,0,12034136,0,0,0,0,0,0,0,5823968,0,16844,0,0,0,187036891,138727,9897748,2551437,0,20892206,0,2054970,626917,0,0,0,0,0,0,0,0,0,0,0,3522024,0,1237744,0,1426697,0,8884804,0,0,183602,0,0,0,0,205896,3302723,0,0,243320,0,0,0,0,0,0,98047,78082,25194070,56401158,0,0,4157957,0,1216490,0,7679162,0,0,21046642,0,0,6781282,0,0,0,286772,31880,0,51727,0,0,0,2018550,935441,169903,0,0,0,0,0,0,0,0,269709607,10558726,0,0,0,0,0,0,0,0,442893,0,0,2803324,0,0,7106805,0,5666258,0,4496652,0,0,0,41583395,264802,0,0,179764825,0,0,0,0,0,0,0,156842,1780304,45966,9431454,0,0,0,0,0,0,0,81903,0,2537261,0,0,0,0,0,0,0,3398765,0
"SRS2428408",0,0,0,0,0,112710,1008309,0,0,0,1592891,22695824,0,0,0,0,461075,0,1418126,1761501,0,620355,0,0,0,117345952,0,37152748,1755083,0,51881099,0,2126833,0,0,0,0,512496,0,160731,0,0,0,0,0,2802029,0,17501861,0,2085347,0,0,0,0,0,0,0,719023,60810,377326,9393350,0,0,2470416,569207,0,0,0,0,0,3138301,742900,37244543,50902799,167667,0,0,0,2996212,0,10429510,0,0,10233173,872672,0,267399,0,0,0,756587,941265,6305981,493775,104282784,0,0,3959652,1521715,1798313,0,0,0,0,0,0,95617,0,0,0,405856,0,0,0,0,0,0,0,0,0,0,12238,0,0,17199278,0,17781787,4881117,84554,0,0,0,11859604,163206,0,0,0,0,0,0,0,0,0,0,0,27311917,798626,185373972,1623113,0,0,0,2155895,0,0,0,0,517581,0,0,6476387,0,0,0,0,224585,0
"ERS475344_ERS475345",0,0,0,0,0,0,0,2855883,0,216042,0,597402,0,0,0,0,0,43009,0,298837,0,0,126608,0,0,301491724,0,2389289,1140579,0,9044708,0,654974,131718,0,0,4087082,0,0,0,0,0,0,0,0,448524,0,0,0,292385,0,29313,0,0,0,0,0,0,252925,83766,596103,0,0,0,0,0,0,0,1851932,89879,75963,2515186,18497289,146209042,0,0,0,0,3088657,22548,492860,17021178,0,151941,0,0,52403728,0,0,0,197137,0,0,0,4095700,0,193159,164759,451518,8772133,0,62956,0,0,0,0,0,0,73816,2729121,0,0,0,0,0,0,0,0,381576,0,0,0,0,0,382050,0,1394178,0,146929,0,0,0,4627403,0,0,0,136734321,0,0,0,0,0,0,0,0,920338,0,4051623,78946,0,0,0,0,0,111028,22478,0,44231397,0,0,0,0,771901,0,7746076,136740865,0
