"","Acetobacter","Acholeplasma","Achromobacter","Acidaminococcus","Acidiphilium","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobaculum","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeromassilibacillus","Anaerostipes","Anaerotignum","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blastocystis","Blautia","Brachyspira","Butyricicoccus","Butyricimonas","Butyrivibrio","Caecibacter","Campylobacter","Candidatus.Gastranaerophilales","Candidatus.Methanomethylophilus","Catabacter","Catenibacterium","Christensenella","Citrobacter","Cloacibacillus","Clostridioides","Clostridium","Colibacter","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Coraliomargarita","Corallococcus","Cryptobacterium","Culturomica","Dakarella","Desulfovibrio","Dialister","Dielma","Dorea","Drancourtella","Duodenibacillus","Eggerthella","Eisenbergiella","Elusimicrobium","Emergencia","Enorma","Enterobacter","Enterococcus","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Faecalicatena","Faecalicoccus","Faecalitalea","Fenollaria","Flavonifractor","Fournierella","Fusicatenibacter","Fusobacterium","Gemella","Gemmiger","Gordonibacter","Granulicatella","Haemophilus","Hafnia","Helicobacter","Holdemanella","Holdemania","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Libanicoccus","Mailhella","Marvinbryantia","Massiliomicrobiota","Mediterranea","Megamonas","Megasphaera","Merdimonas","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Mitsuokella","Mobilibacterium","Morganella","Mycoplasma","Negativibacillus","Neglecta","Niameybacter","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotellamassilia","Proteus","Providencia","Pseudoflavonifractor","Pyramidobacter","Raoultella","Rikenella","Romboutsia","Roseburia","Ruminiclostridium","Ruminococcus","Ruthenibacterium","Saccharopolyspora","Sanguibacteroides","Selenomonas","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Sphaerochaeta","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Treponema","Turicibacter","Turicimonas","Tyzzerella","Veillonella","Weissella","unclassified","unclassified.Acidaminococcaceae","unclassified.Actinobacteria","unclassified.Aeromonadales","unclassified.Alphaproteobacteria","unclassified.Bacillales","unclassified.Bacilli","unclassified.Bacteria","unclassified.Bacteroidaceae","unclassified.Bacteroidales","unclassified.Bacteroidetes","unclassified.Burkholderiales","unclassified.Christensenellaceae","unclassified.Clostridia","unclassified.Clostridiaceae","unclassified.Clostridiales","unclassified.Clostridiales.Family.XIII..Incertae.Sedis","unclassified.Coriobacteriia","unclassified.Desulfovibrionales","unclassified.Eggerthellaceae","unclassified.Erysipelotrichaceae","unclassified.Erysipelotrichales","unclassified.Euryarchaeota","unclassified.Firmicutes","unclassified.Gammaproteobacteria","unclassified.Lachnospiraceae","unclassified.Mollicutes","unclassified.Muribaculaceae","unclassified.Negativicutes","unclassified.Odoribacteraceae","unclassified.Oscillospiraceae","unclassified.Peptostreptococcaceae","unclassified.Prevotellaceae","unclassified.Proteobacteria","unclassified.Rhodospirillaceae","unclassified.Rhodospirillales","unclassified.Ruminococcaceae","unclassified.Selenomonadaceae","unclassified.Sutterellaceae","unclassified.Tissierellia"
"SRS074964",0,0,0,0,0,0,0,26,0,0,0,2021,17749,0,0,0,0,0,0,8,121,0,5,0,0,0,122768,0,34,84,0,332,0,78,0,0,0,0,0,0,0,0,0,0,0,0,143,0,65,0,30,0,143,0,0,0,0,777,0,0,0,233,0,0,14,0,0,0,0,0,0,100,35,279,1459,0,0,0,0,629,0,61,0,0,3128,0,0,80,0,0,0,76,0,0,24,0,0,0,21,16,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11807,0,4856,0,0,0,0,0,772,382,0,0,40,0,0,0,15,0,0,0,0,495,47,1636,360,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,22,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,23,0,0,1707,0,2364,0,0,0,0,0,0,0,0,0,0,159,0,0,0
"SRS3104921",0,0,0,0,0,739,0,62,0,0,0,0,95076,0,0,0,0,0,0,16,14,0,64,0,0,0,19202,2493,0,1168,0,1151,0,189,993,0,0,0,0,0,0,0,0,0,0,0,584,0,63,0,0,52,132,0,0,0,0,0,0,0,0,38,0,0,263,5,0,0,0,0,0,0,0,8442,24272,0,0,0,0,1463,0,2217,0,0,1962,0,0,0,0,0,0,0,0,0,228,0,0,0,81,21,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,579,0,0,7105,0,1515,0,394,0,0,0,2064,0,0,0,0,0,0,0,149,0,0,0,0,326,49,3909,386,0,0,0,0,34,0,0,0,24,0,0,0,0,0,0,0,0,0,3713,0,118,0,0,0,0,0,0,2959,0,0,1700,22,0,11647,0,0,235,0,0,0,0,53002,0,240,0,0,0,0,5180,0,0,0,0,0,5685,0,0,0
"SRS820625",0,0,0,0,129,0,0,0,0,0,0,325,19340,0,0,0,0,0,0,0,24,0,369,0,0,0,394,0,0,23,165,3595,2030,530,60,46,0,0,2250,0,220,8246,0,0,0,0,158,0,1634,0,321,0,581,0,0,0,0,0,38,154,0,955,0,0,13,0,109,0,0,26,0,0,0,8962,6368,0,0,1949,0,21,0,36,0,0,520,0,0,217,0,0,1204,0,0,38,0,2355,0,0,0,126,197,577,0,0,0,0,0,0,0,0,0,0,20179,0,0,0,0,0,7526,0,0,0,0,101,0,2269,0,276,0,0,0,0,0,58,0,0,0,28129,0,0,0,0,0,0,0,19,2139,41,7510,6,0,0,0,0,283,0,0,604,352,0,1542,0,15476,0,0,0,24,144,14408,0,0,0,0,0,0,1492,0,28156,750,10,57,205,0,118677,0,0,0,231,0,0,0,49957,0,1491,25,0,0,0,2395,0,16070,0,0,0,628,7,0,0
"SRS3638648",0,0,0,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,0,0,0,0,0,0,0,0,273,220,0,0,0,226,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,468,0,0,0,228,0,0,0,0,0,0,690,0,384,0,0,0,0,0,0,0,0,0,0,602,3679,19875,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,193885,10282,0,0,0,0,0,0,0,17148,0,3170,0,0,0,0,0,0,0,0,0,0,0,1621,0,0,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,230,0,0,0,6467,0,0,0,0,0,0,0,5346,0,455,0,0,0,0,369,0,201,0,0,0,0,0,0,0
"SRS3638657",0,0,0,0,18,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,14,0,246,0,0,0,4598,348,0,107,272,4277,0,554,76,11398,0,0,0,0,0,260,0,0,0,0,1202,0,266,16,237,0,2491,0,0,0,0,0,114,7175,0,2394,0,0,0,0,0,0,0,0,0,0,925,8050,23755,0,0,123,0,165,0,118,0,0,1398,0,0,48,0,0,178,0,0,304,0,0,0,0,371,83,671,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,316,133,0,6574,0,505,0,0,0,0,0,15,0,0,17,107711,0,0,0,0,0,0,0,172,18937,186,12959,0,0,0,0,0,30,0,0,0,394,0,25,503,0,64,0,0,115,0,5077,0,0,0,0,0,0,0,0,43,0,0,0,0,0,42301,0,0,0,31,0,0,0,14242,0,8853,0,0,0,0,737,0,0,0,0,0,991,0,0,0
"SRS476270",0,0,0,0,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,86,0,0,0,0,0,448,6,1433,7,0,2046,0,371,0,21,0,0,0,0,0,1931,0,0,0,0,269,0,986,0,82,0,651,0,0,0,0,0,14,6319,0,1398,0,246,9,0,0,0,0,0,0,0,404,1377,6866,0,0,240,0,103,0,148,16,0,960,0,0,92,0,0,416,0,0,31,0,321,0,0,97,88,866,6,0,0,0,0,0,0,0,17,0,0,0,0,0,171,0,0,0,0,0,0,0,129,0,436,0,48,0,0,9,0,0,2004,0,0,6,161598,2958,0,0,0,0,0,0,146,5957,0,1734,0,0,0,1452,0,133,0,0,0,363,0,14909,1424,0,29,0,0,32,5,218,0,0,0,0,0,0,0,0,151,0,101,0,0,0,3057,0,0,0,139,0,0,0,869,0,14961,0,0,0,0,0,0,14150,0,0,0,98,1991,562,0
"SRS3638597",0,0,0,0,442,0,0,301,0,0,0,0,27266,95,0,0,0,0,0,0,87,0,125,0,0,0,1869,0,0,416,31,8203,0,1432,37,1465,0,0,6543,0,7,236,0,0,0,0,594,0,648,0,336,11,11490,0,0,559,0,0,240,0,0,7378,0,0,999,0,0,0,0,0,0,0,471,9651,18571,0,0,898,0,28,0,111,0,0,581,1124,0,158,0,0,182,33,0,155,0,0,0,0,266,170,1217,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,59,0,0,0,1363,0,0,3619,0,939,0,77,0,0,0,5769,0,0,0,52072,0,0,0,0,0,0,0,37,13176,125,16707,0,0,0,0,0,101,0,0,0,60,0,67140,1812,0,40,0,0,0,0,13577,0,0,0,0,0,0,42,0,0,0,22,70,0,0,44757,0,0,0,447,0,0,0,15568,0,6402,0,0,0,0,518,0,7149,189,0,0,1537,0,0,0
"SRS294905",0,0,0,3899,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,17,0,0,0,0,0,99354,0,341,11,0,28251,0,0,0,0,0,19,0,0,0,0,0,0,0,0,190,0,192,0,0,0,139,0,0,0,0,363,0,3823,0,436,0,0,127,0,0,0,0,60,0,140,722,49833,0,0,0,8380,0,259,0,1053,100,0,0,0,0,4209,0,0,0,0,10,21,0,7673,0,0,98,0,29,0,0,0,0,0,0,0,0,0,2646,0,0,0,0,515,0,0,0,0,0,0,0,0,0,341,0,346,0,0,0,0,0,695,0,0,0,6,0,0,0,0,0,0,0,666,24576,0,95,39,0,0,0,116,0,0,0,0,1891,0,0,4321,0,0,0,554,19198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,45,0,0,1246,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRS259547",0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,2460,0,0,0,0,0,32749,0,3865,21,0,4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,512,0,0,0,46,0,0,0,0,4192,0,0,0,147,0,0,22,0,0,0,0,0,0,381,6158,1619,0,0,0,0,0,26,0,0,738,0,0,0,0,173,0,0,0,0,13,0,0,1855,0,0,97,0,54,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,1813,0,0,0,0,0,6716,0,0,0,231736,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,2548,0,0,0,0,0,0,133,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555,0,0,0,0,0,0,0,1014,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRS015890",0,0,0,191,0,1400,0,0,0,0,0,230,21077,0,0,0,0,0,0,0,0,0,0,0,0,0,184992,0,258,20,0,87,0,22,0,0,0,0,0,0,0,0,0,0,0,0,19,0,68,0,0,0,36,0,0,0,0,0,0,211,0,72,0,0,0,0,0,0,0,0,0,12,0,1182,478,0,0,0,0,150,0,16,0,0,112,0,0,145,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,0,1556,0,5783,0,88,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,70,5030,0,559,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,49,0,0,654,0,310,0,0,0,0,0,0,0,0,0,0,38,0,0,0
