"","Acetobacter","Acholeplasma","Achromobacter","Acidaminococcus","Acidiphilium","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobaculum","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeromassilibacillus","Anaerostipes","Anaerotignum","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blastocystis","Blautia","Brachyspira","Butyricicoccus","Butyricimonas","Butyrivibrio","Caecibacter","Campylobacter","Candidatus.Gastranaerophilales","Candidatus.Methanomethylophilus","Catabacter","Catenibacterium","Christensenella","Citrobacter","Cloacibacillus","Clostridioides","Clostridium","Colibacter","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Coraliomargarita","Corallococcus","Cryptobacterium","Culturomica","Dakarella","Desulfovibrio","Dialister","Dielma","Dorea","Drancourtella","Duodenibacillus","Eggerthella","Eisenbergiella","Elusimicrobium","Emergencia","Enorma","Enterobacter","Enterococcus","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Faecalicatena","Faecalicoccus","Faecalitalea","Fenollaria","Flavonifractor","Fournierella","Fusicatenibacter","Fusobacterium","Gemella","Gemmiger","Gordonibacter","Granulicatella","Haemophilus","Hafnia","Helicobacter","Holdemanella","Holdemania","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Libanicoccus","Mailhella","Marvinbryantia","Massiliomicrobiota","Mediterranea","Megamonas","Megasphaera","Merdimonas","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Mitsuokella","Mobilibacterium","Morganella","Mycoplasma","Negativibacillus","Neglecta","Niameybacter","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotellamassilia","Proteus","Providencia","Pseudoflavonifractor","Pyramidobacter","Raoultella","Rikenella","Romboutsia","Roseburia","Ruminiclostridium","Ruminococcus","Ruthenibacterium","Saccharopolyspora","Sanguibacteroides","Selenomonas","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Sphaerochaeta","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Treponema","Turicibacter","Turicimonas","Tyzzerella","Veillonella","Weissella","unclassified","unclassified.Acidaminococcaceae","unclassified.Actinobacteria","unclassified.Aeromonadales","unclassified.Alphaproteobacteria","unclassified.Bacillales","unclassified.Bacilli","unclassified.Bacteria","unclassified.Bacteroidaceae","unclassified.Bacteroidales","unclassified.Bacteroidetes","unclassified.Burkholderiales","unclassified.Christensenellaceae","unclassified.Clostridia","unclassified.Clostridiaceae","unclassified.Clostridiales","unclassified.Clostridiales.Family.XIII..Incertae.Sedis","unclassified.Coriobacteriia","unclassified.Desulfovibrionales","unclassified.Eggerthellaceae","unclassified.Erysipelotrichaceae","unclassified.Erysipelotrichales","unclassified.Euryarchaeota","unclassified.Firmicutes","unclassified.Gammaproteobacteria","unclassified.Lachnospiraceae","unclassified.Mollicutes","unclassified.Muribaculaceae","unclassified.Negativicutes","unclassified.Odoribacteraceae","unclassified.Oscillospiraceae","unclassified.Peptostreptococcaceae","unclassified.Prevotellaceae","unclassified.Proteobacteria","unclassified.Rhodospirillaceae","unclassified.Rhodospirillales","unclassified.Ruminococcaceae","unclassified.Selenomonadaceae","unclassified.Sutterellaceae","unclassified.Tissierellia"
"DRS091385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,79061,0,73734,0,0,33041,0,0,0,0,0,0,0,0,0,0,0,227,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,0,0,418,0,0,0,0,0,1680,6364,12593,0,0,0,0,0,0,948,0,0,0,65,0,0,0,126,0,0,0,0,0,10,0,31,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,11,0,1660,0,0,0,0,0,0,0,37171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERS1801395",0,0,0,0,0,0,0,12,0,0,0,0,12588,0,0,0,0,0,0,13,278,0,66,0,0,0,99186,987,14,49,0,1767,0,537,232,0,0,0,0,0,0,0,0,0,0,0,671,0,357,0,927,0,541,0,0,0,0,0,1211,10,0,301,0,0,24,21,0,0,0,26,0,5,61,14136,14918,0,23,0,0,887,0,421,1510,0,1921,0,0,22,0,0,0,86,5,116,136,114,0,0,169,458,5082,63,0,0,0,0,0,0,0,4877,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,4239,0,1703,0,25,0,0,0,4568,28,0,0,245,0,0,0,0,0,0,0,22,2883,0,8772,156,0,0,0,0,86,0,0,0,44,0,0,639,0,0,0,0,15,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32581,0,0,0,0,10,0,0,7416,0,694,0,0,0,0,0,0,0,26,0,0,1238,0,0,0
"DRS091149",0,0,0,219,0,0,0,57,0,0,0,32,2469,296,0,0,0,0,0,0,0,0,13,0,0,0,72169,0,1086,533,0,728,0,221,0,0,0,0,0,0,0,0,0,0,17,0,282,0,132,0,188,1721,5027,0,0,0,0,0,43,0,31,15,0,0,30,10,0,0,0,0,0,0,21,12866,15322,0,0,40,0,556,0,0,0,0,384,0,0,538,0,0,0,123,17,0,53,0,0,0,1505,0,17,0,0,0,0,0,0,0,0,6757,9,0,11,0,0,0,0,0,0,186,0,0,475,0,0,4682,0,5788,0,0,0,0,0,5580,63,0,0,60722,19120,0,0,0,0,23,0,40,5451,88,9667,147,0,21,0,0,0,0,0,0,516,0,0,560,0,0,0,0,15,0,393,0,0,0,0,0,0,0,0,0,0,3044,0,0,0,23757,0,0,0,0,0,0,0,3669,401,447,0,0,0,0,118,0,3012,75,0,0,65,0,0,0
"SRS475567",0,0,0,61,1587,0,0,0,0,0,0,0,4233,41,0,0,0,0,0,0,0,0,6,0,0,0,7357,88,227,117,0,2865,0,186,60,16,283,20,0,0,0,237,0,22,0,0,252,0,744,0,141,0,1528,0,0,0,0,0,395,1943,0,282,0,0,7,0,0,0,0,316,0,191,1730,10569,5694,0,0,235,0,344,0,72,0,0,763,0,0,50,0,0,100,0,10,119,18,9116,0,0,140,34,6341,0,0,0,99,0,0,0,0,0,0,0,35,0,0,63,0,7,0,0,0,0,176,252,0,2724,0,916,37,18,20,0,0,3039,0,0,8,148059,18,0,0,0,0,0,0,21,6923,0,2673,214,0,0,0,0,73,0,0,0,3095,0,5174,2175,0,13,0,515,0,26,2374,0,0,0,0,0,0,0,0,0,0,0,56,0,0,7408,0,0,0,166,0,0,0,4008,0,4820,0,0,0,0,21,0,4,0,0,0,1784,0,0,0
"ERS328959",0,0,0,0,0,0,0,0,0,0,0,0,10487,0,0,0,22,0,0,132,1039,0,6,0,0,0,56449,3348,1626,275,0,2661,0,622,0,0,0,0,5790,0,0,0,0,0,0,0,239,0,0,0,288,0,784,0,0,0,0,0,0,0,14,260,0,0,331,0,0,0,0,0,0,27,8,42661,21863,0,0,0,0,389,0,670,0,0,2280,38,0,0,0,0,0,53,0,82,14,0,0,0,598,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1127,0,0,3868,0,9433,0,0,0,0,0,3312,0,0,0,0,0,0,0,15,0,0,0,0,26991,169,10244,29,0,0,0,0,0,0,0,0,7,0,0,1382,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,1507,0,827,0,31,0,20117,0,0,0,262,0,0,0,4874,0,8997,0,0,0,0,0,0,0,0,0,0,5379,0,0,0
"SRS053587",0,0,0,0,0,11305,0,16,0,0,0,0,11861,0,0,0,0,0,0,4,409,0,5,0,0,0,136542,93,169,229,0,279,0,90,0,0,0,0,0,0,0,0,0,0,0,0,33,0,92,0,98,0,143,0,0,0,0,0,0,9,0,126,0,0,6,5,0,0,0,0,0,13,18,1875,1678,0,0,0,0,607,0,99,0,0,162,0,0,0,0,0,0,27,0,0,0,0,0,0,0,19,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,83,0,0,1849,0,13900,0,1679,0,0,0,7198,14,0,0,687,0,0,0,0,0,0,0,66,2747,84,873,861,0,0,0,0,0,0,0,0,70,0,0,38,0,0,0,0,15,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1376,0,0,0,0,15,0,0,1357,0,2108,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"DRS090872",0,0,0,0,0,0,0,1610,0,0,0,0,2429,0,0,0,0,0,0,0,5229,0,34,27,0,0,34886,964,10029,0,0,11884,0,2324,0,0,0,0,0,0,0,0,0,19,0,0,477,0,0,0,6551,0,540,0,0,0,0,0,0,1651,0,4046,0,0,300,0,0,0,0,15,0,60,0,39019,16844,0,0,0,0,749,0,1196,0,0,12268,64,21,604,0,0,0,145,0,0,17,0,0,0,348,200,24,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,1269,0,1735,26,17,0,3022,28,0,0,55645,0,0,0,0,35,0,0,117,3168,18,9791,31,0,0,0,34,0,0,11,0,3554,0,0,0,0,0,0,0,296,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17871,0,0,0,0,123,0,0,9860,0,10119,0,0,0,0,0,0,0,0,0,0,1600,0,0,0
"ERS1487580",0,0,0,0,0,0,0,109,0,0,0,454,13625,352,0,0,0,0,0,129,429,0,5,0,0,0,24983,920,2929,266,0,5008,0,394,57,0,0,0,0,0,0,0,18,0,65,0,160,0,812,0,752,0,1276,0,0,49,0,0,902,9,25,1252,0,0,23,9,0,0,0,0,0,11,1010,5865,19867,0,0,0,0,1411,0,1786,0,0,11567,460,0,35,0,0,0,125,15,7,12,20,0,0,458,334,3447,0,0,0,0,0,0,0,0,36761,245,0,0,0,0,0,0,0,0,62,0,0,350,0,0,2633,14,1194,1510,0,9,0,0,3098,36,0,0,854,0,0,0,0,0,0,0,79,27409,2450,25376,769,0,0,0,0,0,521,10,0,770,0,0,1281,0,0,0,0,93,0,2921,0,0,0,0,0,0,0,0,262,0,0,0,0,0,61808,0,0,0,0,0,0,0,20303,0,455,0,0,0,0,133,0,0,0,0,0,8182,0,0,0
"ERS475107",0,0,0,0,0,0,0,108,0,0,0,7845,6907,0,0,0,0,0,0,84,806,0,9,0,0,0,70372,6,173,1128,0,2484,0,774,214,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,377,0,188,0,0,0,0,0,0,7,0,279,0,0,17,0,0,23,0,0,0,11,101,28526,26191,0,0,0,0,299,0,684,0,0,2403,21,0,33,0,0,0,37,14,113,54,124,0,0,123,427,13,0,0,0,0,0,0,0,0,3018,0,0,0,0,0,0,0,0,7,0,0,0,611,0,0,4874,0,10901,0,84,0,0,0,2204,0,0,0,41,0,0,0,0,0,0,0,122,13898,479,25322,99,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,71,0,0,337,0,0,0,0,0,0,0,0,0,0,1939,0,0,0,19813,0,0,0,0,7,0,0,3586,0,5366,0,0,0,0,0,0,0,0,1485,0,1212,0,0,0
"X3613_v3",0,0,0,0,0,0,0,67,0,0,0,26415,26922,38,0,0,0,0,0,0,2692,0,482,0,2375,0,6709,846,839,32,0,7993,0,1835,1099,0,0,0,0,0,0,2683,0,0,0,0,1562,0,1410,0,550,510,4383,0,0,0,0,0,18,7375,0,4322,0,0,893,0,0,0,0,0,0,0,2752,5241,9337,0,0,0,0,188,0,1590,0,0,490,0,0,0,0,0,530,0,0,0,0,0,0,0,50,1021,500,0,0,0,0,0,0,0,0,0,215,0,3474,0,0,0,0,0,0,0,0,0,607,153,0,6278,0,621,758,295,0,0,0,0,0,0,0,15685,0,0,0,0,0,0,0,368,8231,7413,16110,47,0,0,0,0,184,0,0,0,0,1973,0,573,0,0,0,0,0,0,8510,0,0,0,0,0,0,0,0,474,0,0,1049,0,0,98333,0,0,0,136,0,0,0,59812,0,6883,0,1395,0,0,1254,0,0,1127,0,0,4291,0,0,0
"X3790_v2",0,0,0,0,0,0,0,399,0,0,0,747,6961,0,0,0,0,0,0,0,4309,0,0,0,7298,0,23773,4064,4057,782,0,12955,0,582,133,0,0,0,1254,0,0,0,0,0,0,0,684,0,1486,0,3042,0,2875,0,0,0,0,0,376,2809,0,1485,0,423,36,0,0,0,0,0,0,0,0,8535,22423,0,0,0,0,302,0,6962,0,0,603,0,0,0,0,0,0,46,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,862,0,0,1984,0,5286,1166,0,0,0,0,0,0,0,0,19965,0,0,0,0,0,0,0,0,13369,1198,25710,53,0,0,0,0,0,0,0,0,102,44,0,0,0,0,0,0,0,0,4679,0,0,0,0,0,0,181,0,0,0,1009,161,0,0,114813,0,0,0,0,0,0,0,21048,0,8713,0,0,0,0,1424,0,0,0,0,0,8578,0,0,0
"ERS608501",96,0,0,0,0,0,0,1318,0,0,0,1207,182,0,0,0,0,0,0,29,14817,0,0,0,0,0,223,6,11715,5,0,167118,91,6303,0,0,0,0,114,0,16,0,0,0,0,0,3346,0,0,0,0,0,2848,0,0,0,0,0,0,131,0,18625,0,0,1348,17,0,0,1089,0,0,765,14,8524,296,0,0,0,0,17,0,0,33,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,80,18,177,0,0,0,22,0,0,0,0,233,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,0,0,0,0,2443,0,0,12324,0,391,0,218,0,0,0,0,0,195,29,0,0,0,0,0
"DRS091171",0,0,0,530,0,0,0,179,0,0,0,2912,14966,0,0,0,0,0,0,134,387,0,82,0,0,0,16871,8131,16786,885,0,2551,0,0,373,0,0,0,0,0,72,0,99,0,0,0,303,0,2610,0,0,0,1364,0,0,0,0,0,0,2668,0,391,0,0,126,222,0,0,0,0,23,75,63,27842,5267,0,0,0,0,1764,0,644,0,0,944,0,0,144,0,0,0,228,8,233,1356,0,0,0,427,76,1018,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,1292,0,5573,0,0,0,0,0,0,0,0,0,118,0,0,0,94,630,0,0,148,90,21,14392,1211,0,0,0,0,0,345,8,0,114,0,0,83,0,0,0,0,17,0,18249,0,0,0,0,0,0,2349,0,0,0,0,0,31,0,50515,0,0,0,853,0,10573,0,56554,0,1693,0,0,0,0,5907,0,0,0,0,0,2973,0,0,0
"SRS3638672",0,0,0,0,2045,0,0,0,0,0,0,0,34816,0,0,0,0,0,0,0,7,0,0,0,0,0,2124,360,52,13,0,1604,0,51,136,4720,0,0,11416,0,69,2461,0,0,0,0,3894,0,978,0,425,0,420,0,0,0,0,0,6,7034,0,203,0,126,178,0,419,0,0,0,0,0,281,7929,2065,0,0,381,0,0,0,499,0,0,1892,0,0,1002,0,0,1967,0,0,436,0,0,0,0,16,34,737,16,0,0,107,0,0,0,0,0,0,0,988,0,165,0,0,0,2254,0,0,0,843,673,0,984,0,3411,0,0,0,0,0,15,0,0,0,59300,0,0,0,0,0,0,0,800,3819,24,9143,0,0,0,0,0,292,0,0,0,0,0,1675,11,0,702,0,0,70,0,10259,0,0,0,0,6991,0,4350,0,0,0,0,15,10,0,60324,0,0,0,404,0,0,0,12742,0,1986,0,0,0,0,50,0,23796,0,0,0,504,0,0,0
"SRS049900",0,0,0,0,0,0,0,7,0,0,0,0,5204,0,0,0,0,0,0,25,486,0,0,0,0,0,181888,0,168,36,0,1623,0,17,0,0,0,0,0,0,0,0,0,0,0,0,27,0,177,0,99,0,0,0,0,0,0,0,0,6513,0,395,0,0,30,0,0,0,0,0,0,61,34,1182,881,0,0,0,0,1041,0,95,0,0,0,0,0,18,0,0,0,10,0,0,0,0,0,0,12,42,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,1365,0,9145,0,0,0,0,0,0,21,0,0,31,0,0,0,0,0,0,0,0,1884,15,75,568,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,1942,0,0,0,0,47,0,0,267,0,571,0,0,0,0,0,0,0,0,0,0,66,0,0,0
"ERS1801156",0,0,0,0,0,33,0,0,0,0,0,10,7188,0,0,0,0,0,0,0,113,0,0,0,0,0,98062,0,0,0,0,4405,0,59,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,41,0,1488,2236,8557,0,0,0,0,0,4647,0,0,11203,0,0,0,0,281,0,0,0,0,124,14,0,2249,0,0,4092,0,0,0,0,0,0,0,0,0,0,31797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17632,0,5383,0,0,0,6494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,78,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1130,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7858,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERS328857",0,0,0,0,172,0,0,8,0,0,0,0,3488,0,0,0,0,0,0,24,831,0,0,0,3113,1340,15360,3937,96,113,0,3080,0,386,268,7429,0,10,1185,0,0,0,0,0,0,0,275,0,237,0,1080,679,2655,0,0,0,0,0,0,6368,0,701,0,0,194,0,0,0,0,0,0,0,32,6253,9160,0,0,13,0,86,0,624,0,0,291,0,0,119,8,0,767,27,5,62,0,0,0,0,208,212,9300,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16452,0,0,0,950,0,0,2304,0,4891,1198,55,0,0,0,0,0,0,7,42829,0,0,0,0,0,0,0,229,5412,299,7057,14,0,0,0,0,6,0,0,0,205,882,0,406,0,0,0,0,36,0,7644,0,0,203,0,0,0,0,0,0,0,0,44,17,0,95471,0,0,0,0,0,0,0,27859,0,3698,0,0,0,0,334,0,0,0,119,0,2205,0,0,0
