category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0010,0.1249314066774716,0.0,0.0885380243334863,0.2337406749188806,0.0802606040847626,0.1016189334243067,0.229400063651622,0.2311898830149225,0.2192029137447305,0.0471553979105493,0.205663793439865,0.0215252852272256,0.0002469298533387,0.1778057509155643,0.0330539737553071,0.0425997770685271,0.0932139535102792,0.0,0.0,0.0,0.1277939125939482,0.0,0.0869092205675028,0.0813520372455322,0.0,0.026694078042081,0.0,0.0,0.049405413039163,0.1279442120631403,0.0,0.0,0.221375700647419,0.1207034003729323,0.1678435779004954,0.1436586698194219,0.0,0.0,0.4991647768897191,0.0060225486932996
msp_0011,0.0,0.0,0.0,0.0701153819931518,0.0,0.1830427918569261,0.0398200047230309,0.1033549289957051,0.1150424843924107,0.0635467088744273,0.0,0.1654337987826628,0.1896364460392894,0.0568414656375005,0.0,0.0,0.2151822535521536,0.0,0.0,0.0,0.0,0.0,0.1171369262528154,0.0,0.0,0.0490414771267213,0.4929249152990135,0.0456789299759817,0.0,0.0029334439755728,0.0,0.0,0.1439720494061805,0.0485742272894532,0.0,0.2460560913011639,0.0,0.0,0.1189176780021126,0.0
msp_0012,0.0,0.0,0.068145071446398,0.2575920601581181,0.0153251627784567,0.0806412723522601,0.0,0.0765784414986235,0.0205431081474945,0.0639634695849051,0.1060818804888573,0.3370961179173853,0.3648907687699351,0.0,0.1122632705931631,0.0,0.0695608159311258,0.0,0.0,0.0389386941049593,0.0,0.0295885772525561,0.215409575638009,0.1715178339034713,0.0,0.0576282262745437,0.2265670834771289,0.0,0.0525695589101915,0.0,0.0,0.0,0.0442359726009647,0.0,0.1427643588223434,0.1174430586171251,0.0,0.1321883041686556,0.0,0.1072760902586786
msp_0013,0.0,0.0,0.0483022855848954,0.0193225279819998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286796926235689,0.0,0.0,0.0,0.0251901740745826,0.0,0.0,0.0249484700066433,0.0,0.092311870595387,0.0,0.0,0.0126141028855725,0.0,0.0,0.0,0.0,0.0,0.0816977262621787,0.0,0.0,0.0,0.0,0.0,0.0,0.0150645245730936,0.0,0.0
msp_0014,0.1792733304257895,0.0596191231382398,0.0507045806685489,0.2313421519352279,0.1516372052186261,0.1436346618019753,0.218516980614706,0.2948585556613502,0.1402706584989518,0.0775720824113846,0.2631425938403955,0.2893946122384488,0.2151095029556127,0.0392160297321449,0.037687444625537,0.11961067105901,0.0368552568582512,0.2842810413970127,0.0495831284674307,0.0,0.0953542938852698,0.0,0.1232739059502711,0.0,0.0438845640308382,0.0,0.0,0.0,0.0,0.1919846897627792,0.1465456775140347,0.0,0.0,0.0158565737438078,0.0,0.0,0.0738825073982253,0.2071908363928393,0.0,0.0
msp_0015,0.0,0.1648891936173691,0.0752852894350729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302415767899815,0.0,0.0,0.0,0.0124710952994973,0.0,0.0,0.0,0.0441839817885843,0.0277138096525834,0.0018008275601366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078340209700592,0.0193637504346735,0.0,0.0,0.0,0.0559381758184035,0.2248220573607038,0.0,0.0,0.0,0.0
msp_0016,0.0,0.0,0.0041001488510051,0.2067646054334133,0.0,0.0196131540844338,0.0,0.0625744621781438,0.0,0.1773902627840338,0.0241908068635159,0.0,0.0,0.0,0.0,0.0685697530173399,0.0779999723919756,0.1293083874726454,0.1634681208906408,0.0055111665499277,0.0,0.0,0.0,0.0,0.0299217031430296,0.0,0.0,0.0,0.1265393701301408,0.0903240856935945,0.0,0.2129409512735887,0.1031367825985273,0.0,0.0,0.325179734839057,0.012274599604497,0.0,0.0,0.1532721270054555
msp_0017,0.0,0.0,0.1033878721778734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896311255322024,0.0103819300736732,0.0,0.0,0.0067983289222932,0.0,0.0,0.0219012047477655,0.0,0.0,0.0,0.0,0.0,0.0977716674812057,0.0,0.0,0.0,0.0,0.0,0.0,0.1201406586343025,0.0206173194993057,0.0,0.0,0.0626938670602719,0.218258050977643,0.014137126208872,0.0,0.0,0.0
msp_0018,0.260972265700242,0.1199827636387488,0.0717014082612573,0.1607237156674382,0.1874117542380075,0.0517989658906792,0.1228355765528496,0.1802047054874496,0.0017898025887108,0.0,0.2640921473759052,0.1983986505189964,0.2376909722667027,0.070140709497142,0.0,0.1226276703695095,0.128672540371611,0.2553703075656545,0.0389164990464541,0.0311146432073037,0.1745396892617507,0.0178066275003311,0.0957418080086178,0.0,0.0554564522490835,0.0046304252256949,0.0,0.0,0.0,0.2791534966714254,0.0585539126039428,0.0,0.0,0.0,0.0,0.0,0.0418260569838489,0.0,0.0,0.0
msp_0019,0.0,0.0,0.0,0.1960899744453089,0.0,0.0368984875227809,0.0,0.0303731718486795,0.0,0.0087508413710631,0.0,0.0,0.0236085321927159,0.0,0.0344432191521728,0.0,0.004242142518862,0.0417280587672874,0.0,0.0228065103698839,0.0,0.1105147440876193,0.0,0.1920811990519511,0.0,0.0,0.4340993101299246,0.0,0.0320641728124168,0.2518635492247458,0.0340199913084627,0.0097488680969141,0.0,0.0,0.1979495192102575,0.0,0.0,0.0258668754251655,0.0546540861686393,0.0659943225286439
