	NW	W	region
msp_0001	-0.03325349245253333	0.019397870597311087	W
msp_0002	0.1535836052553719	-0.08959043639896702	NW
msp_0003	-0.5528793504948676	0.3225129544553395	W
msp_0004	0.12972246503230586	-0.07567143793551173	NW
msp_0005	0.23848840980035327	-0.13911823905020596	NW
msp_0006	-0.6790559344743714	0.39611596177671643	W
msp_0007	-0.6607336292558015	0.3854279503992177	W
msp_0008	-0.7534675779875116	0.439522753826048	W
msp_0009	-0.7511101410221881	0.4381475822629431	W
msp_0010	-0.41966203040929567	0.24480285107208918	W
msp_0011	-0.5484961172197027	0.3199560683781601	W
msp_0012	-0.9693056026749217	0.5654282682270378	W
msp_0013	-1.0137697192382382	0.591365669555639	W
msp_0014	-0.8599288750837256	0.5016251771321732	W
msp_0015	-0.6643981697344952	0.38756559901178944	W
msp_0016	-0.4972432398855725	0.2900585565999173	W
msp_0017	-1.1319871148059397	0.6603258169701317	W
msp_0018	-0.6826494917574911	0.3982122035252032	W
msp_0019	-0.4072856149234969	0.23758327537203985	W
msp_0020	-0.7641633712698994	0.44576196657410777	W
msp_0021	-0.5366136951792143	0.31302465552120834	W
msp_0022	-0.7875038355445626	0.4593772374009948	W
msp_0023	-0.7769660862554773	0.45323021698236166	W
msp_0024	-0.5053017077961094	0.29475932954773054	W
msp_0025	-0.7645970035673145	0.44601491874760035	W
msp_0026	-0.7209415104850935	0.4205492144496381	W
msp_0027	-0.8271309346454663	0.4824930452098554	W
msp_0028	-0.7118704939673793	0.4152577881476382	W
msp_0029	-0.6128086504834063	0.3574717127819875	W
msp_0030	0.18168391847437312	-0.10598228577671759	NW
msp_0031	-0.7142656024341475	0.41665493475325305	W
msp_0032	-0.8808366777086761	0.5138213953300612	W
msp_0033	0.2234329165264457	-0.13033586797375987	NW
msp_0034	-0.5172531404038537	0.30173099856891467	W
msp_0035	-0.8017572745070284	0.46769174346243364	W
msp_0036	-0.8868131803381294	0.5173076885305751	W
msp_0037	-0.8343846573394655	0.48672438344802166	W
msp_0038	0.7692579938460196	-0.44873382974351145	NW
msp_0039	0.19232637599892938	-0.1121903859993754	NW
msp_0040	-0.8459291304587068	0.4934586594342454	W
msp_0041	0.8854145183135502	-0.5164918023495703	NW
msp_0042	-0.3655497740773009	0.21323736821175895	W
msp_0043	-0.6481573313034497	0.37809177659367904	W
msp_0044	-0.3541860922517789	0.20660855381353768	W
msp_0045	-0.7620861737516277	0.4445502680217826	W
msp_0046	-1.1325280867294993	0.6606413839255413	W
msp_0047	-0.32243414962230477	0.1880865872796775	W
msp_0048	-0.7004234170968545	0.40858032663983174	W
msp_0049	-0.5020004697673415	0.29283360736428243	W
msp_0050	-0.5899828082061942	0.3441566381202798	W
msp_0051	-0.29689577886546387	0.17318920433818732	W
msp_0052	-0.8142419168652241	0.47497445150471385	W
msp_0053	-0.882429136674579	0.5147503297268375	W
msp_0054	-0.6339109781916931	0.36978140394515435	W
msp_0055	0.6742601105459954	-0.39331839781849737	NW
msp_0056	-0.7408423507065072	0.43215803791212903	W
msp_0057	0.020124447397521377	-0.011739260981887401	NW
msp_0058	-0.7071160712960104	0.41248437492267276	W
msp_0059	-0.9186207823925008	0.5358621230622921	W
msp_0060	0.7509514553475396	-0.43805501561939825	NW
msp_0061	0.03444746625561839	-0.020094355315777596	NW
msp_0062	-0.6050236306703088	0.35293045122434735	W
msp_0063	-0.8815262457888641	0.5142236433768379	W
msp_0064	0.9753167804809741	-0.5689347886139016	NW
msp_0065	-0.6116576742487148	0.3568003099784171	W
msp_0066	-0.6789733046970582	0.39606776107328384	W
msp_0067	-0.6986142488084448	0.4075249784715928	W
msp_0068	0.23002011627504546	-0.13417840116044313	NW
msp_0069	-1.0069803496386944	0.5874052039559052	W
msp_0070	-0.6462310556737345	0.37696811580967865	W
msp_0071	-0.5616995324722328	0.3276580606088026	W
msp_0072	-0.009169993742515339	0.005349163016467401	W
msp_0073	0.10443347126533656	-0.060919524904779615	NW
msp_0074	-0.01239252305114058	0.007228971779831848	W
msp_0075	-0.16109801023984538	0.09397383930657631	W
msp_0076	-0.5566770644691197	0.32472828760698635	W
msp_0077	-0.04940689968506885	0.02882069148295725	W
msp_0078	0.8615068800172752	-0.502545680010077	NW
msp_0079	-0.878766797309453	0.5126139650971805	W
msp_0080	1.0228251082775337	-0.596647979828561	NW
msp_0081	0.6508864671184693	-0.37968377248577356	NW
msp_0082c	0.26990869483330754	-0.15744673865276285	NW
msp_0083	-0.5838509817968311	0.34057973938148484	W
msp_0084	1.142227356168479	-0.6662992910982795	NW
msp_0085	-0.5525635967948269	0.3223287647969824	W
msp_0086	-0.5808052435403219	0.3388030587318543	W
msp_0087	-0.18377617053620834	0.10720276614612183	W
msp_0088	-0.4353638226485372	0.25396222987831335	W
msp_0089	-0.6130268195157648	0.3575989780508626	W
msp_0090	-0.7620208172267143	0.4445121433822499	W
msp_0091	1.223425498469897	-0.7136648741074398	NW
msp_0092	-0.5675300041881013	0.3310591691097257	W
msp_0093	-0.8572487486748341	0.5000617700603202	W
msp_0094	0.5798372705198874	-0.3382384078032678	NW
msp_0095	-0.5501325168126362	0.32091063480737103	W
msp_0096	-0.5960661251962224	0.3477052396977964	W
msp_0097	-0.5978446919601353	0.34874273697674546	W
msp_0098	-0.39121084097419406	0.2282063239016131	W
msp_0099	-0.4452293168200235	0.25971710147834703	W
msp_0100	-0.22286020463443826	0.1300017860367557	W
msp_0101	-0.5662807981452546	0.3303304655847319	W
msp_0102	-0.23645493207776289	0.1379320437120284	W
msp_0103	-0.48412922958547355	0.282408717258193	W
msp_0104	-0.7674782498273144	0.44769564573260007	W
msp_0105	0.2640664638180104	-0.1540387705605064	NW
msp_0106	-0.2950265177549448	0.17209880202371788	W
msp_0107	-0.7424930324742144	0.43312093560995835	W
msp_0108	0.3449118110411388	-0.2011985564406641	NW
msp_0109	-0.8938220754619337	0.521396210686128	W
msp_0110	-0.6328745649061194	0.3691768295285697	W
msp_0111	-0.5853909216226283	0.34147803761319984	W
msp_0112	-0.8183582576415055	0.4773756502908782	W
msp_0113	-0.9817588429558416	0.5726926583909075	W
msp_0114	-0.6749902656018488	0.39374432160107853	W
msp_0115c	-0.425028319809948	0.24793318655580307	W
msp_0116	-0.6681811905807785	0.38977236117212044	W
msp_0117	0.3110012391942631	-0.1814173895299871	NW
msp_0118	-0.533763307806538	0.31136192955381375	W
msp_0119	-0.4411518929869191	0.25733860424236954	W
msp_0120	-0.3440322954338102	0.20068550566972254	W
msp_0121	-0.13092463646583383	0.07637270460506967	W
msp_0122	-0.03515391793811624	0.020506452130567874	W
msp_0123	0.8345597063607995	-0.486826495377133	NW
msp_0124	-0.5424158940702285	0.31640927154096704	W
msp_0125	-0.7070004428986117	0.41241692502419064	W
msp_0126	-1.1226173591626754	0.6548601261782275	W
msp_0127	0.38210464728785876	-0.22289437758458416	NW
msp_0128	-0.683078910627695	0.3984626978661552	W
msp_0129	-1.0369794423062815	0.6049046746786643	W
msp_0130	-0.6022326952932212	0.35130240558771214	W
msp_0131	-0.7287836765934076	0.42512381134615435	W
msp_0132	-0.6183207210571905	0.36068708728336096	W
msp_0133	0.15095663697264186	-0.08805803823404112	NW
msp_0134	-0.3298984037878722	0.19244073554292562	W
msp_0135	-0.4941894287409162	0.28827716676553444	W
msp_0136	0.7957082769693485	-0.46416316156545334	NW
msp_0137	-0.643639739015309	0.3754565144255972	W
msp_0138	-0.21117972141965075	0.1231881708281296	W
msp_0139	-0.9127584519046703	0.5324424302777243	W
msp_0140	-0.4993029695586241	0.29126006557586404	W
msp_0141	-0.6552105240416587	0.38220613902430106	W
msp_0142	-0.5588965090226548	0.3260229635965484	W
msp_0143	-0.7314159880570388	0.42665932636660586	W
msp_0144	0.20132789752771454	-0.11744127355783358	NW
msp_0145	-0.735257848541617	0.4289004116492767	W
msp_0146c	-0.315817882208037	0.1842270979546883	W
msp_0147	-0.6353629925651944	0.37062841232969657	W
msp_0148c	-0.5600804674751341	0.32671360602716165	W
msp_0149	-0.2544435742273942	0.14842541829931327	W
msp_0150c	-0.803626039948255	0.4687818566364819	W
msp_0151	-0.8075269617754762	0.47105739436902777	W
msp_0152	0.2508560047555514	-0.14633266944073856	NW
msp_0153	-0.49116326823053746	0.2865119064678136	W
msp_0154	-0.7650280503373879	0.4462663626968096	W
msp_0155	-0.24589625447113322	0.1434394817748278	W
msp_0156	-0.31355350301173235	0.18290621009017724	W
msp_0157	-0.2749398047606805	0.16038155277706354	W
msp_0158	-0.08441094667129241	0.049239718891587604	W
msp_0159	0.7338681938897074	-0.4280897797689962	NW
msp_0160	-0.12853736884571687	0.07498013182666778	W
msp_0161	0.009651735060840176	-0.005630178785489953	NW
msp_0162	0.3612783771400782	-0.21074571999837888	NW
msp_0163	-0.11054852826081925	0.0644866414854781	W
msp_0164	-0.3533988473896478	0.20614932764396152	W
msp_0165	-0.3488272659491886	0.20348257180369345	W
msp_0166	-0.3569239085857766	0.20820561334170307	W
msp_0167c	0.3794863918979599	-0.22136706194047653	NW
msp_0168	0.6338666852124183	-0.3697555663739107	NW
msp_0169	-0.12311484730660001	0.07181699426218328	W
msp_0170	-0.7336510057498459	0.4279630866874104	W
msp_0171	-0.720290927460249	0.42016970768514555	W
msp_0172	-0.9819560986818192	0.5728077242310615	W
msp_0173	0.6161992749899042	-0.3594495770774439	NW
msp_0174	0.4862019853838335	-0.2836178248072363	NW
msp_0175	-0.8349320926497665	0.4870437207123636	W
msp_0176	0.7678298653743276	-0.4479007548016913	NW
msp_0177	-0.783802103366497	0.45721789363045656	W
msp_0178	0.005707274780131032	-0.003329243621743333	NW
msp_0179	-0.321683207338419	0.18764853761407785	W
msp_0180	-0.3424884011564732	0.19978490067460944	W
msp_0181	-0.4345249871893509	0.253472909193788	W
msp_0182	-0.602497454252769	0.35145684831411517	W
msp_0183	-0.6708562682664675	0.39133282315543944	W
msp_0184	-0.32169945356202956	0.18765801457785056	W
msp_0185	-0.7746377258201563	0.45187200672842437	W
msp_0186	-0.7095171561202268	0.41388500773679887	W
msp_0187	-0.5433455093036909	0.31695154709381973	W
msp_0188	-0.7975500946886906	0.4652375552350692	W
msp_0189	0.06872494600117582	-0.040089551834019334	NW
msp_0190	0.8794363209435309	-0.5130045205503927	NW
msp_0191	-0.6077219247438762	0.35450445610059456	W
msp_0192	0.4416620628501896	-0.2576362033292777	NW
msp_0193	-0.7907242896079	0.4612558356046083	W
msp_0194	-0.5028816471613865	0.2933476275108085	W
msp_0195	0.5178294385954116	-0.3020671725139903	NW
msp_0196	-0.5009326175751209	0.29221069358548707	W
msp_0197	0.5376233202042491	-0.3136136034524788	NW
msp_0198	-0.8157214287398981	0.475837500098274	W
msp_0199	0.8017219360249086	-0.4676711293478632	NW
msp_0200	-0.3670762602306304	0.21412781846786766	W
msp_0201	-0.6340848623788865	0.3698828363876838	W
msp_0202	-0.8152541738590442	0.4755649347511092	W
msp_0203	-0.7746894700474398	0.4519021908610064	W
msp_0204	-0.6701424444781611	0.390916425945594	W
msp_0205	0.17985696711960802	-0.10491656415310462	NW
msp_0206	0.2274602883344283	-0.13268516819508297	NW
msp_0207	-0.6469423568732118	0.37738304150937346	W
msp_0208	-0.6664522245792189	0.3887637976712109	W
