fig_564886.8.peg.107, kdsA, LPS biogenesis
fig_994601.8.peg.41, hypothetical, hypothetial
fig_1805959.6.peg.27, cell surface antigen
fig_1357712.6.peg.74, prs
fig_1357712.6.peg.75, nitroreductase
