,values,ind
757,ERS1801282,ET-Firmicutes
758,ERS1801279,ET-Firmicutes
759,ERS1801278,ET-Firmicutes
760,ERS1801276,ET-Firmicutes
761,ERS1801275,ET-Firmicutes
762,ERS1801273,ET-Firmicutes
763,ERS1801270,ET-Firmicutes
764,ERS1801269,ET-Firmicutes
765,ERS1801267,ET-Firmicutes
766,ERS1801266,ET-Firmicutes
767,ERS1801333,ET-Firmicutes
768,ERS1801340,ET-Firmicutes
769,ERS1801299,ET-Firmicutes
770,ERS1801300,ET-Firmicutes
771,ERS1801297,ET-Firmicutes
772,ERS1801322,ET-Firmicutes
773,ERS1801323,ET-Firmicutes
774,ERS1801324,ET-Firmicutes
775,ERS1801264,ET-Firmicutes
776,ERS1801336,ET-Firmicutes
777,ERS1801262,ET-Firmicutes
778,ERS1801261,ET-Firmicutes
779,ERS1801260,ET-Firmicutes
780,ERS1801327,ET-Firmicutes
781,ERS1801257,ET-Firmicutes
782,ERS1801221,ET-Firmicutes
783,ERS1801217,ET-Firmicutes
784,ERS1801216,ET-Firmicutes
785,ERS1801214,ET-Firmicutes
786,ERS1801212,ET-Firmicutes
787,ERS1801211,ET-Firmicutes
788,ERS1801208,ET-Firmicutes
789,ERS1801202,ET-Firmicutes
790,ERS1801201,ET-Firmicutes
791,ERS1801196,ET-Firmicutes
792,ERS1801195,ET-Firmicutes
793,ERS1801192,ET-Firmicutes
794,ERS1801190,ET-Firmicutes
795,ERS1801189,ET-Firmicutes
796,ERS1801186,ET-Firmicutes
797,ERS1801185,ET-Firmicutes
798,ERS1801176,ET-Firmicutes
799,ERS1801174,ET-Firmicutes
800,ERS1801173,ET-Firmicutes
801,ERS1801103,ET-Firmicutes
802,ERS1801102,ET-Firmicutes
803,ERS1801100,ET-Firmicutes
804,ERS1801097,ET-Firmicutes
805,ERS1801331,ET-Firmicutes
806,ERS1801114,ET-Firmicutes
807,ERS1801110,ET-Firmicutes
808,ERS1801109,ET-Firmicutes
809,ERS1801429,ET-Firmicutes
810,ERS1801430,ET-Firmicutes
811,ERS1801437,ET-Firmicutes
812,ERS1801439,ET-Firmicutes
813,ERS1801493,ET-Firmicutes
814,ERS1801494,ET-Firmicutes
815,ERS1801443,ET-Firmicutes
816,ERS1801444,ET-Firmicutes
817,ERS1801446,ET-Firmicutes
818,ERS1801491,ET-Firmicutes
819,ERS1801447,ET-Firmicutes
820,ERS1801451,ET-Firmicutes
821,ERS1801454,ET-Firmicutes
822,ERS1801455,ET-Firmicutes
823,ERS1801457,ET-Firmicutes
824,ERS1801458,ET-Firmicutes
825,ERS1801462,ET-Firmicutes
826,ERS1801463,ET-Firmicutes
827,ERS1801492,ET-Firmicutes
828,ERS1801474,ET-Firmicutes
829,ERS1801476,ET-Firmicutes
830,ERS1801479,ET-Firmicutes
831,ERS1801478,ET-Firmicutes
832,ERS1801481,ET-Firmicutes
833,ERS1801482,ET-Firmicutes
834,ERS1801483,ET-Firmicutes
835,ERS1801485,ET-Firmicutes
836,ERS1801486,ET-Firmicutes
837,ERS1801488,ET-Firmicutes
838,ERS1801489,ET-Firmicutes
839,ERS2637787,ET-Firmicutes
840,ERS2637788,ET-Firmicutes
841,ERS2637789,ET-Firmicutes
842,ERS2637790,ET-Firmicutes
843,ERS2637791,ET-Firmicutes
844,ERS2637792,ET-Firmicutes
845,ERS2637794,ET-Firmicutes
846,ERS2637795,ET-Firmicutes
847,ERS2637796,ET-Firmicutes
848,ERS2637797,ET-Firmicutes
849,ERS2637798,ET-Firmicutes
850,ERS2637799,ET-Firmicutes
851,ERS2637800,ET-Firmicutes
852,ERS2637801,ET-Firmicutes
853,ERS2637802,ET-Firmicutes
854,ERS2637805,ET-Firmicutes
855,ERS2637806,ET-Firmicutes
856,ERS2637807,ET-Firmicutes
857,ERS2637808,ET-Firmicutes
858,ERS2637809,ET-Firmicutes
859,ERS2637810,ET-Firmicutes
860,ERS2637811,ET-Firmicutes
861,ERS2637812,ET-Firmicutes
862,ERS2637813,ET-Firmicutes
863,ERS2637814,ET-Firmicutes
864,ERS2637815,ET-Firmicutes
865,ERS2637820,ET-Firmicutes
866,ERS2637821,ET-Firmicutes
867,ERS2637822,ET-Firmicutes
868,ERS2637823,ET-Firmicutes
869,ERS2637824,ET-Firmicutes
870,ERS2637825,ET-Firmicutes
871,ERS2637826,ET-Firmicutes
872,ERS2637827,ET-Firmicutes
873,ERS2637828,ET-Firmicutes
874,ERS2637829,ET-Firmicutes
875,ERS2637830,ET-Firmicutes
876,ERS2637831,ET-Firmicutes
877,ERS2637832,ET-Firmicutes
878,ERS2637833,ET-Firmicutes
879,ERS2637834,ET-Firmicutes
880,ERS2637835,ET-Firmicutes
881,ERS2637836,ET-Firmicutes
882,ERS2637837,ET-Firmicutes
883,ERS2637838,ET-Firmicutes
884,ERS2637839,ET-Firmicutes
885,ERS2637840,ET-Firmicutes
886,ERS2637841,ET-Firmicutes
887,ERS2637843,ET-Firmicutes
888,ERS2637844,ET-Firmicutes
889,ERS2637845,ET-Firmicutes
890,ERS2637846,ET-Firmicutes
891,ERS2637847,ET-Firmicutes
892,ERS2637848,ET-Firmicutes
893,ERS2637849,ET-Firmicutes
894,ERS2637852,ET-Firmicutes
895,ERS2637853,ET-Firmicutes
896,ERS2637854,ET-Firmicutes
897,ERS2637855,ET-Firmicutes
898,ERS2637856,ET-Firmicutes
899,ERS2637859,ET-Firmicutes
900,ERS2637861,ET-Firmicutes
901,ERS2637862,ET-Firmicutes
902,ERS2637863,ET-Firmicutes
903,ERS2637864,ET-Firmicutes
904,ERS2637865,ET-Firmicutes
905,ERS2637866,ET-Firmicutes
906,ERS2637867,ET-Firmicutes
907,ERS2637868,ET-Firmicutes
908,ERS2791355,ET-Firmicutes
909,ERS2791356,ET-Firmicutes
910,ERS2791357,ET-Firmicutes
911,ERS2791359,ET-Firmicutes
912,ERS2791361,ET-Firmicutes
913,ERS2791362,ET-Firmicutes
914,ERS2791364,ET-Firmicutes
915,ERS2791365,ET-Firmicutes
916,ERS2791366,ET-Firmicutes
917,ERS2791367,ET-Firmicutes
918,ERS2791368,ET-Firmicutes
919,ERS2791369,ET-Firmicutes
920,ERS2791370,ET-Firmicutes
921,ERS2791371,ET-Firmicutes
922,ERS2791372,ET-Firmicutes
923,ERS2791374,ET-Firmicutes
924,ERS2791376,ET-Firmicutes
925,ERS2791379,ET-Firmicutes
926,ERS2791380,ET-Firmicutes
927,ERS2791381,ET-Firmicutes
928,ERS2791382,ET-Firmicutes
929,ERS2791383,ET-Firmicutes
930,ERS2791385,ET-Firmicutes
931,ERS328717,ET-Firmicutes
932,ERS328718,ET-Firmicutes
933,ERS328726,ET-Firmicutes
934,ERS328727,ET-Firmicutes
935,ERS328729,ET-Firmicutes
936,ERS328731,ET-Firmicutes
937,ERS328735,ET-Firmicutes
938,ERS328736,ET-Firmicutes
939,ERS328739,ET-Firmicutes
940,ERS328740,ET-Firmicutes
941,ERS328741,ET-Firmicutes
942,ERS328743,ET-Firmicutes
943,ERS328747,ET-Firmicutes
944,ERS328749,ET-Firmicutes
945,ERS328750,ET-Firmicutes
946,ERS328751,ET-Firmicutes
947,ERS328752,ET-Firmicutes
948,ERS328753,ET-Firmicutes
949,ERS328754,ET-Firmicutes
950,ERS328755,ET-Firmicutes
951,ERS328756,ET-Firmicutes
952,ERS328757,ET-Firmicutes
953,ERS328758,ET-Firmicutes
954,ERS328759,ET-Firmicutes
955,ERS328761,ET-Firmicutes
956,ERS328762,ET-Firmicutes
957,ERS328764,ET-Firmicutes
958,ERS328765,ET-Firmicutes
959,ERS328768,ET-Firmicutes
960,ERS328770,ET-Firmicutes
961,ERS328771,ET-Firmicutes
962,ERS328772,ET-Firmicutes
963,ERS328773,ET-Firmicutes
964,ERS328774,ET-Firmicutes
965,ERS328776,ET-Firmicutes
966,ERS328778,ET-Firmicutes
967,ERS328779,ET-Firmicutes
968,ERS328780,ET-Firmicutes
969,ERS328781,ET-Firmicutes
970,ERS328782,ET-Firmicutes
971,ERS328783,ET-Firmicutes
972,ERS328784,ET-Firmicutes
973,ERS328785,ET-Firmicutes
974,ERS328787,ET-Firmicutes
975,ERS328788,ET-Firmicutes
976,ERS328789,ET-Firmicutes
977,ERS328790,ET-Firmicutes
978,ERS328791,ET-Firmicutes
979,ERS328793,ET-Firmicutes
980,ERS328794,ET-Firmicutes
981,ERS328795,ET-Firmicutes
982,ERS328796,ET-Firmicutes
983,ERS328797,ET-Firmicutes
984,ERS328799,ET-Firmicutes
985,ERS328800,ET-Firmicutes
986,ERS328802,ET-Firmicutes
987,ERS328803,ET-Firmicutes
988,ERS328804,ET-Firmicutes
989,ERS328806,ET-Firmicutes
990,ERS328807,ET-Firmicutes
991,ERS328808,ET-Firmicutes
992,ERS328809,ET-Firmicutes
993,ERS328811,ET-Firmicutes
994,ERS328812,ET-Firmicutes
995,ERS328813,ET-Firmicutes
996,ERS328814,ET-Firmicutes
997,ERS328815,ET-Firmicutes
998,ERS328816,ET-Firmicutes
999,ERS328818,ET-Firmicutes
1000,ERS328819,ET-Firmicutes
1001,ERS328820,ET-Firmicutes
1002,ERS328821,ET-Firmicutes
1003,ERS328824,ET-Firmicutes
1004,ERS328825,ET-Firmicutes
1005,ERS328826,ET-Firmicutes
1006,ERS328828,ET-Firmicutes
1007,ERS328829,ET-Firmicutes
1008,ERS328830,ET-Firmicutes
1009,ERS328831,ET-Firmicutes
1010,ERS328832,ET-Firmicutes
1011,ERS328835,ET-Firmicutes
1012,ERS328836,ET-Firmicutes
1013,ERS328837,ET-Firmicutes
1014,ERS328838,ET-Firmicutes
1015,ERS328839,ET-Firmicutes
1016,ERS328840,ET-Firmicutes
1017,ERS328841,ET-Firmicutes
1018,ERS328842,ET-Firmicutes
1019,ERS328844,ET-Firmicutes
1020,ERS328846,ET-Firmicutes
1021,ERS328847,ET-Firmicutes
1022,ERS328848,ET-Firmicutes
1023,ERS328849,ET-Firmicutes
1024,ERS328852,ET-Firmicutes
1025,ERS328853,ET-Firmicutes
1026,ERS328855,ET-Firmicutes
1027,ERS328857,ET-Firmicutes
1028,ERS328858,ET-Firmicutes
1029,ERS328859,ET-Firmicutes
1030,ERS328860,ET-Firmicutes
1031,ERS328861,ET-Firmicutes
1032,ERS328862,ET-Firmicutes
1033,ERS328863,ET-Firmicutes
1034,ERS328866,ET-Firmicutes
1035,ERS328868,ET-Firmicutes
1036,ERS328870,ET-Firmicutes
1037,ERS328871,ET-Firmicutes
1038,ERS328872,ET-Firmicutes
1039,ERS328873,ET-Firmicutes
1040,ERS328874,ET-Firmicutes
1041,ERS328875,ET-Firmicutes
1042,ERS328880,ET-Firmicutes
1043,ERS328881,ET-Firmicutes
1044,ERS328882,ET-Firmicutes
1045,ERS328883,ET-Firmicutes
1046,ERS328884,ET-Firmicutes
1047,ERS328885,ET-Firmicutes
1048,ERS328886,ET-Firmicutes
1049,ERS328888,ET-Firmicutes
1050,ERS328889,ET-Firmicutes
1051,ERS328890,ET-Firmicutes
1052,ERS328892,ET-Firmicutes
1053,ERS328893,ET-Firmicutes
1054,ERS328894,ET-Firmicutes
1055,ERS328896,ET-Firmicutes
1056,ERS328897,ET-Firmicutes
1057,ERS328898,ET-Firmicutes
1058,ERS328899,ET-Firmicutes
1059,ERS328900,ET-Firmicutes
1060,ERS328902,ET-Firmicutes
1061,ERS328903,ET-Firmicutes
1062,ERS328904,ET-Firmicutes
1063,ERS328905,ET-Firmicutes
1064,ERS328906,ET-Firmicutes
1065,ERS328907,ET-Firmicutes
1066,ERS328908,ET-Firmicutes
1067,ERS328910,ET-Firmicutes
1068,ERS328911,ET-Firmicutes
1069,ERS328912,ET-Firmicutes
1070,ERS328913,ET-Firmicutes
1071,ERS328914,ET-Firmicutes
1072,ERS328915,ET-Firmicutes
1073,ERS328916,ET-Firmicutes
1074,ERS328919,ET-Firmicutes
1075,ERS328920,ET-Firmicutes
1076,ERS328921,ET-Firmicutes
1077,ERS328922,ET-Firmicutes
1078,ERS328924,ET-Firmicutes
1079,ERS328926,ET-Firmicutes
1080,ERS328927,ET-Firmicutes
1081,ERS328928,ET-Firmicutes
1082,ERS328929,ET-Firmicutes
1083,ERS328930,ET-Firmicutes
1084,ERS328932,ET-Firmicutes
1085,ERS328933,ET-Firmicutes
1086,ERS328934,ET-Firmicutes
1087,ERS328935,ET-Firmicutes
1088,ERS328939,ET-Firmicutes
1089,ERS328941,ET-Firmicutes
1090,ERS328943,ET-Firmicutes
1091,ERS328944,ET-Firmicutes
1092,ERS328947,ET-Firmicutes
1093,ERS328948,ET-Firmicutes
1094,ERS328952,ET-Firmicutes
1095,ERS328955,ET-Firmicutes
1096,ERS328956,ET-Firmicutes
1097,ERS328957,ET-Firmicutes
1098,ERS328958,ET-Firmicutes
1099,ERS328959,ET-Firmicutes
1100,ERS328960,ET-Firmicutes
1101,ERS328961,ET-Firmicutes
1102,ERS328962,ET-Firmicutes
1103,ERS328964,ET-Firmicutes
1104,ERS328965,ET-Firmicutes
1105,ERS328966,ET-Firmicutes
1106,ERS328967,ET-Firmicutes
1107,ERS328968,ET-Firmicutes
1108,ERS328971,ET-Firmicutes
1109,ERS328973,ET-Firmicutes
1110,ERS328974,ET-Firmicutes
1111,ERS328975,ET-Firmicutes
1112,ERS328980,ET-Firmicutes
1113,ERS328981,ET-Firmicutes
1114,ERS328982,ET-Firmicutes
1115,ERS328983,ET-Firmicutes
1116,ERS328984,ET-Firmicutes
1117,ERS328986,ET-Firmicutes
1118,ERS328987,ET-Firmicutes
1119,ERS328988,ET-Firmicutes
1120,ERS328989,ET-Firmicutes
1121,ERS328990,ET-Firmicutes
1122,ERS328991,ET-Firmicutes
1123,ERS328992,ET-Firmicutes
1124,ERS328994,ET-Firmicutes
1125,ERS328995,ET-Firmicutes
1126,ERS328997,ET-Firmicutes
1127,ERS328998,ET-Firmicutes
1128,ERS328999,ET-Firmicutes
1129,ERS329000,ET-Firmicutes
1130,ERS329001,ET-Firmicutes
1131,ERS329002,ET-Firmicutes
1132,ERS329003,ET-Firmicutes
1133,ERS329004,ET-Firmicutes
1134,ERS329005,ET-Firmicutes
1135,ERS329006,ET-Firmicutes
1136,ERS329007,ET-Firmicutes
1137,ERS475105,ET-Firmicutes
1138,ERS475107,ET-Firmicutes
1139,ERS475108,ET-Firmicutes
1140,ERS475122,ET-Firmicutes
1141,ERS475125,ET-Firmicutes
1142,ERS475126,ET-Firmicutes
1143,ERS475130,ET-Firmicutes
1144,ERS475131,ET-Firmicutes
1145,ERS475133,ET-Firmicutes
1146,ERS475138,ET-Firmicutes
1147,ERS475139,ET-Firmicutes
1148,ERS475140,ET-Firmicutes
1149,ERS475141,ET-Firmicutes
1150,ERS475142,ET-Firmicutes
1151,ERS475145,ET-Firmicutes
1152,ERS475148,ET-Firmicutes
1153,ERS475149,ET-Firmicutes
1154,ERS475158,ET-Firmicutes
1155,ERS475164,ET-Firmicutes
1156,ERS475166,ET-Firmicutes
1157,ERS475167,ET-Firmicutes
1158,ERS475168,ET-Firmicutes
1159,ERS475173,ET-Firmicutes
1160,ERS475183,ET-Firmicutes
1161,ERS475184,ET-Firmicutes
1162,ERS475186,ET-Firmicutes
1163,ERS475187,ET-Firmicutes
1164,ERS475188,ET-Firmicutes
1165,ERS475193,ET-Firmicutes
1166,ERS475194,ET-Firmicutes
1167,ERS475195,ET-Firmicutes
1168,ERS475196,ET-Firmicutes
1169,ERS475200,ET-Firmicutes
1170,ERS475202,ET-Firmicutes
1171,ERS475204,ET-Firmicutes
1172,ERS475206,ET-Firmicutes
1173,ERS475209,ET-Firmicutes
1174,ERS475212,ET-Firmicutes
1175,ERS475219,ET-Firmicutes
1176,ERS475228,ET-Firmicutes
1177,ERS475230,ET-Firmicutes
1178,ERS475231,ET-Firmicutes
1179,ERS475232,ET-Firmicutes
1180,ERS475233,ET-Firmicutes
1181,ERS475235,ET-Firmicutes
1182,ERS475236,ET-Firmicutes
1183,ERS475238,ET-Firmicutes
1184,ERS475239,ET-Firmicutes
1185,ERS475243,ET-Firmicutes
1186,ERS475244,ET-Firmicutes
1187,ERS475251,ET-Firmicutes
1188,ERS475255,ET-Firmicutes
1189,ERS475257,ET-Firmicutes
1190,ERS475267,ET-Firmicutes
1191,ERS475279,ET-Firmicutes
1192,ERS475290,ET-Firmicutes
1193,ERS475291,ET-Firmicutes
1194,ERS475302,ET-Firmicutes
1195,ERS475317,ET-Firmicutes
1196,ERS475349,ET-Firmicutes
1197,ERS475350,ET-Firmicutes
1198,ERS475359,ET-Firmicutes
1199,ERS475363,ET-Firmicutes
1200,ERS475373,ET-Firmicutes
1201,ERS475376,ET-Firmicutes
1202,ERS475399,ET-Firmicutes
1203,ERS475402,ET-Firmicutes
1204,ERS475112_ERS475113,ET-Firmicutes
1205,ERS475114_ERS475115,ET-Firmicutes
1206,ERS475118_ERS475119,ET-Firmicutes
1207,ERS475143_ERS475144,ET-Firmicutes
1208,ERS475146_ERS475147,ET-Firmicutes
1209,ERS475159_ERS475160,ET-Firmicutes
1210,ERS475169_ERS475170,ET-Firmicutes
1211,ERS475171_ERS475172,ET-Firmicutes
1212,ERS475174_ERS475175,ET-Firmicutes
1213,ERS475177_ERS475178,ET-Firmicutes
1214,ERS475179_ERS475180,ET-Firmicutes
1215,ERS475213_ERS475214,ET-Firmicutes
1216,ERS475226_ERS475227,ET-Firmicutes
1217,ERS475240_ERS475241,ET-Firmicutes
1218,ERS475245_ERS475246,ET-Firmicutes
1219,ERS475271_ERS475272,ET-Firmicutes
1220,ERS475281_ERS475282_ERS475283,ET-Firmicutes
1221,ERS475320_ERS475321,ET-Firmicutes
1222,ERS475335_ERS475336_ERS475337,ET-Firmicutes
1223,ERS475387_ERS475388,ET-Firmicutes
1224,ERS475396_ERS475397,ET-Firmicutes
1225,ERS537179,ET-Firmicutes
1226,ERS537182,ET-Firmicutes
1227,ERS537185,ET-Firmicutes
1228,ERS537186,ET-Firmicutes
1229,ERS537187,ET-Firmicutes
1230,ERS537188,ET-Firmicutes
1231,ERS537189,ET-Firmicutes
1232,ERS537190,ET-Firmicutes
1233,ERS537192,ET-Firmicutes
1234,ERS537193,ET-Firmicutes
1235,ERS537196,ET-Firmicutes
1236,ERS537197,ET-Firmicutes
1237,ERS537198,ET-Firmicutes
1238,ERS537199,ET-Firmicutes
1239,ERS537200,ET-Firmicutes
1240,ERS537201,ET-Firmicutes
1241,ERS537202,ET-Firmicutes
1242,ERS537204,ET-Firmicutes
1243,ERS537206,ET-Firmicutes
1244,ERS537207,ET-Firmicutes
1245,ERS537208,ET-Firmicutes
1246,ERS537209,ET-Firmicutes
1247,ERS537210,ET-Firmicutes
1248,ERS537211,ET-Firmicutes
1249,ERS537212,ET-Firmicutes
1250,ERS537213,ET-Firmicutes
1251,ERS537214,ET-Firmicutes
1252,ERS537217,ET-Firmicutes
1253,ERS537218,ET-Firmicutes
1254,ERS537219,ET-Firmicutes
1255,ERS537221,ET-Firmicutes
1256,ERS537224,ET-Firmicutes
1257,ERS537225,ET-Firmicutes
1258,ERS537226,ET-Firmicutes
1259,ERS537227,ET-Firmicutes
1260,ERS537228,ET-Firmicutes
1261,ERS537229,ET-Firmicutes
1262,ERS537230,ET-Firmicutes
1263,ERS537231,ET-Firmicutes
1264,ERS537232,ET-Firmicutes
1265,ERS537233,ET-Firmicutes
1266,ERS537234,ET-Firmicutes
1267,ERS537235,ET-Firmicutes
1268,ERS537236,ET-Firmicutes
1269,ERS537237,ET-Firmicutes
1270,ERS537240,ET-Firmicutes
1271,ERS537242,ET-Firmicutes
1272,ERS537245,ET-Firmicutes
1273,ERS537249,ET-Firmicutes
1274,ERS537250,ET-Firmicutes
1275,ERS537251,ET-Firmicutes
1276,ERS537252,ET-Firmicutes
1277,ERS537253,ET-Firmicutes
1278,ERS537254,ET-Firmicutes
1279,ERS537256,ET-Firmicutes
1280,ERS537258,ET-Firmicutes
1281,ERS537261,ET-Firmicutes
1282,ERS537262,ET-Firmicutes
1283,ERS537263,ET-Firmicutes
1284,ERS537266,ET-Firmicutes
1285,ERS537268,ET-Firmicutes
1286,ERS537269,ET-Firmicutes
1287,ERS537271,ET-Firmicutes
1288,ERS537272,ET-Firmicutes
1289,ERS537273,ET-Firmicutes
1290,ERS537275,ET-Firmicutes
1291,ERS537276,ET-Firmicutes
1292,ERS537277,ET-Firmicutes
1293,ERS537278,ET-Firmicutes
1294,ERS537279,ET-Firmicutes
1295,ERS537281,ET-Firmicutes
1296,ERS537283,ET-Firmicutes
1297,ERS537284,ET-Firmicutes
1298,ERS537285,ET-Firmicutes
1299,ERS537286,ET-Firmicutes
1300,ERS537288,ET-Firmicutes
1301,ERS537290,ET-Firmicutes
1302,ERS537293,ET-Firmicutes
1303,ERS537294,ET-Firmicutes
1304,ERS537298,ET-Firmicutes
1305,ERS537299,ET-Firmicutes
1306,ERS537300,ET-Firmicutes
1307,ERS537301,ET-Firmicutes
1308,ERS537303,ET-Firmicutes
1309,ERS537304,ET-Firmicutes
1310,ERS537306,ET-Firmicutes
1311,ERS537307,ET-Firmicutes
1312,ERS537308,ET-Firmicutes
1313,ERS537310,ET-Firmicutes
1314,ERS537311,ET-Firmicutes
1315,ERS537314,ET-Firmicutes
1316,ERS537315,ET-Firmicutes
1317,ERS537317,ET-Firmicutes
1318,ERS537318,ET-Firmicutes
1319,ERS537320,ET-Firmicutes
1320,ERS537322,ET-Firmicutes
1321,ERS537323,ET-Firmicutes
1322,ERS537324,ET-Firmicutes
1323,ERS537325,ET-Firmicutes
1324,ERS537327,ET-Firmicutes
1325,ERS537328,ET-Firmicutes
1326,ERS537329,ET-Firmicutes
1327,ERS537330,ET-Firmicutes
1328,ERS537332,ET-Firmicutes
1329,ERS537334,ET-Firmicutes
1330,ERS537335,ET-Firmicutes
1331,ERS537336,ET-Firmicutes
1332,ERS537338,ET-Firmicutes
1333,ERS537339,ET-Firmicutes
1334,ERS537342,ET-Firmicutes
1335,ERS537345,ET-Firmicutes
1336,ERS537346,ET-Firmicutes
1337,ERS537348,ET-Firmicutes
1338,ERS537352,ET-Firmicutes
1339,ERS537353,ET-Firmicutes
1340,ERS537354,ET-Firmicutes
1341,ERS537355,ET-Firmicutes
1342,ERS537357,ET-Firmicutes
1343,ERS537358,ET-Firmicutes
1344,ERS537359,ET-Firmicutes
1345,ERS537360,ET-Firmicutes
1346,ERS537361,ET-Firmicutes
1347,ERS537362,ET-Firmicutes
1348,ERS537363,ET-Firmicutes
1349,ERS537365,ET-Firmicutes
1350,ERS537366,ET-Firmicutes
1351,ERS537367,ET-Firmicutes
1352,ERS537368,ET-Firmicutes
1353,ERS537369,ET-Firmicutes
1354,ERS537370,ET-Firmicutes
1355,ERS537371,ET-Firmicutes
1356,ERS537373,ET-Firmicutes
1357,ERS537374,ET-Firmicutes
1358,ERS537377,ET-Firmicutes
1359,ERS537378,ET-Firmicutes
1360,ERS537379,ET-Firmicutes
1361,ERS537381,ET-Firmicutes
1362,ERS537383,ET-Firmicutes
1363,ERS537385,ET-Firmicutes
1364,ERS537386,ET-Firmicutes
1365,ERS537387,ET-Firmicutes
1366,ERS537388,ET-Firmicutes
1367,ERS537389,ET-Firmicutes
1368,ERS537393,ET-Firmicutes
1369,ERS537394,ET-Firmicutes
1370,ERS537396,ET-Firmicutes
1371,ERS537397,ET-Firmicutes
1372,ERS537400,ET-Firmicutes
1373,ERS537404,ET-Firmicutes
1374,ERS537406,ET-Firmicutes
1375,ERS537407,ET-Firmicutes
1376,ERS537409,ET-Firmicutes
1377,ERS537410,ET-Firmicutes
1378,ERS1424194,ET-Firmicutes
1379,ERS1424195,ET-Firmicutes
1380,ERS1424196,ET-Firmicutes
1381,ERS1424197,ET-Firmicutes
1382,ERS1424198,ET-Firmicutes
1383,ERS1424199,ET-Firmicutes
1384,ERS1424200,ET-Firmicutes
1385,ERS1424201,ET-Firmicutes
1386,ERS1424202,ET-Firmicutes
1387,ERS1424203,ET-Firmicutes
1388,ERS1424204,ET-Firmicutes
1389,ERS1424205,ET-Firmicutes
1390,ERS1424206,ET-Firmicutes
1391,ERS1424207,ET-Firmicutes
1392,ERS1424209,ET-Firmicutes
1393,ERS1424210,ET-Firmicutes
1394,ERS1424211,ET-Firmicutes
1395,ERS1424212,ET-Firmicutes
1396,ERS1424213,ET-Firmicutes
1397,ERS1424214,ET-Firmicutes
1398,ERS1424216,ET-Firmicutes
1399,ERS1424217,ET-Firmicutes
1400,ERS1424218,ET-Firmicutes
1401,ERS1424219,ET-Firmicutes
1402,ERS1424220,ET-Firmicutes
1403,ERS1424222,ET-Firmicutes
1404,ERS1424223,ET-Firmicutes
1405,ERS1424224,ET-Firmicutes
1406,ERS1424225,ET-Firmicutes
1407,ERS1424226,ET-Firmicutes
1408,ERS1424228,ET-Firmicutes
1409,ERS1424229,ET-Firmicutes
1410,ERS1424230,ET-Firmicutes
1411,ERS1424232,ET-Firmicutes
1412,ERS1424233,ET-Firmicutes
1413,ERS1424234,ET-Firmicutes
1414,ERS1424235,ET-Firmicutes
1415,ERS1424236,ET-Firmicutes
1416,ERS1424237,ET-Firmicutes
1417,ERS1424240,ET-Firmicutes
1418,ERS1424241,ET-Firmicutes
1419,ERS1424242,ET-Firmicutes
1420,ERS1424244,ET-Firmicutes
1421,ERS1424245,ET-Firmicutes
1422,ERS1424246,ET-Firmicutes
1423,ERS1424247,ET-Firmicutes
1424,ERS1424248,ET-Firmicutes
1425,ERS1424250,ET-Firmicutes
1426,ERS1424251,ET-Firmicutes
1427,ERS1424253,ET-Firmicutes
1428,ERS1424254,ET-Firmicutes
1429,ERS1424255,ET-Firmicutes
1430,ERS1424256,ET-Firmicutes
1431,ERS1424257,ET-Firmicutes
1432,ERS1424258,ET-Firmicutes
1433,ERS1424259,ET-Firmicutes
1434,ERS1424260,ET-Firmicutes
1435,ERS1424261,ET-Firmicutes
1436,ERS1424262,ET-Firmicutes
1437,ERS1424263,ET-Firmicutes
1438,ERS1424264,ET-Firmicutes
1439,ERS1424266,ET-Firmicutes
1440,ERS1424267,ET-Firmicutes
1441,ERS1424268,ET-Firmicutes
1442,ERS1424269,ET-Firmicutes
1443,ERS1424270,ET-Firmicutes
1444,ERS1424271,ET-Firmicutes
1445,ERS1424272,ET-Firmicutes
1446,ERS1424273,ET-Firmicutes
1447,ERS1424274,ET-Firmicutes
1448,ERS1424275,ET-Firmicutes
1449,ERS1424276,ET-Firmicutes
1450,ERS1424277,ET-Firmicutes
1451,ERS1424279,ET-Firmicutes
1452,ERS1424280,ET-Firmicutes
1453,ERS1424281,ET-Firmicutes
1454,ERS1424282,ET-Firmicutes
1455,ERS1424283,ET-Firmicutes
1456,ERS1424284,ET-Firmicutes
1457,ERS1424285,ET-Firmicutes
1458,ERS1424286,ET-Firmicutes
1459,ERS1424287,ET-Firmicutes
1460,ERS1424288,ET-Firmicutes
1461,ERS1424289,ET-Firmicutes
1462,ERS1424290,ET-Firmicutes
1463,ERS1424291,ET-Firmicutes
1464,ERS1424292,ET-Firmicutes
1465,ERS1424293,ET-Firmicutes
1466,ERS1424294,ET-Firmicutes
1467,ERS1424295,ET-Firmicutes
1468,ERS1424297,ET-Firmicutes
1469,ERS1424298,ET-Firmicutes
1470,ERS1424299,ET-Firmicutes
1471,ERS1424300,ET-Firmicutes
1472,ERS1424301,ET-Firmicutes
1473,ERS1424302,ET-Firmicutes
1474,ERS1424303,ET-Firmicutes
1475,ERS1424304,ET-Firmicutes
1476,ERS1424305,ET-Firmicutes
1477,ERS1424306,ET-Firmicutes
1478,ERS1424307,ET-Firmicutes
1479,ERS1424308,ET-Firmicutes
1480,ERS1424309,ET-Firmicutes
1481,ERS1424310,ET-Firmicutes
1482,ERS1424311,ET-Firmicutes
1483,ERS1424312,ET-Firmicutes
