,values,ind
178,DRS090933,ET-Firmicutes
179,DRS090934,ET-Firmicutes
180,DRS090940,ET-Firmicutes
181,DRS090942,ET-Firmicutes
182,DRS090949,ET-Firmicutes
183,DRS090953,ET-Firmicutes
184,DRS090957,ET-Firmicutes
185,DRS090966,ET-Firmicutes
186,DRS090967,ET-Firmicutes
187,DRS090969,ET-Firmicutes
188,DRS090970,ET-Firmicutes
189,DRS090973,ET-Firmicutes
190,DRS090979,ET-Firmicutes
191,DRS090980,ET-Firmicutes
192,DRS090984,ET-Firmicutes
193,DRS090985,ET-Firmicutes
194,DRS090986,ET-Firmicutes
195,DRS090991,ET-Firmicutes
196,DRS090995,ET-Firmicutes
197,DRS090999,ET-Firmicutes
198,DRS091002,ET-Firmicutes
199,DRS091003,ET-Firmicutes
200,DRS091006,ET-Firmicutes
201,DRS091007,ET-Firmicutes
202,DRS091009,ET-Firmicutes
203,DRS091010,ET-Firmicutes
204,DRS091011,ET-Firmicutes
205,DRS091012,ET-Firmicutes
206,DRS091014,ET-Firmicutes
207,DRS091019,ET-Firmicutes
208,DRS091020,ET-Firmicutes
209,DRS091021,ET-Firmicutes
210,DRS091022,ET-Firmicutes
211,DRS091024,ET-Firmicutes
212,DRS091025,ET-Firmicutes
213,DRS091026,ET-Firmicutes
214,DRS091029,ET-Firmicutes
215,DRS091031,ET-Firmicutes
216,DRS091032,ET-Firmicutes
217,DRS091034,ET-Firmicutes
218,DRS091037,ET-Firmicutes
219,DRS091040,ET-Firmicutes
220,DRS091046,ET-Firmicutes
221,DRS091047,ET-Firmicutes
222,DRS091050,ET-Firmicutes
223,DRS091053,ET-Firmicutes
224,DRS091056,ET-Firmicutes
225,DRS091057,ET-Firmicutes
226,DRS091058,ET-Firmicutes
227,DRS091060,ET-Firmicutes
228,DRS091062,ET-Firmicutes
229,DRS091068,ET-Firmicutes
230,DRS091069,ET-Firmicutes
231,DRS091071,ET-Firmicutes
232,DRS091074,ET-Firmicutes
233,DRS091075,ET-Firmicutes
234,DRS091080,ET-Firmicutes
235,DRS091081,ET-Firmicutes
236,DRS091082,ET-Firmicutes
237,DRS091083,ET-Firmicutes
238,DRS091085,ET-Firmicutes
239,DRS091086,ET-Firmicutes
240,DRS091088,ET-Firmicutes
241,DRS091092,ET-Firmicutes
242,DRS091093,ET-Firmicutes
243,DRS091095,ET-Firmicutes
244,DRS091097,ET-Firmicutes
245,DRS091111,ET-Firmicutes
246,DRS091112,ET-Firmicutes
247,DRS091114,ET-Firmicutes
248,DRS091117,ET-Firmicutes
249,DRS091118,ET-Firmicutes
250,ERS1066634,ET-Firmicutes
251,ERS1066636,ET-Firmicutes
252,ERS1066637,ET-Firmicutes
253,ERS1066638,ET-Firmicutes
254,ERS1066639,ET-Firmicutes
255,ERS1066640,ET-Firmicutes
256,ERS1066641,ET-Firmicutes
257,ERS1066643,ET-Firmicutes
258,ERS1066644,ET-Firmicutes
259,ERS1066645,ET-Firmicutes
260,ERS1066646,ET-Firmicutes
261,ERS1066647,ET-Firmicutes
262,ERS1066648,ET-Firmicutes
263,ERS1066650,ET-Firmicutes
264,ERS1066652,ET-Firmicutes
265,ERS1066654,ET-Firmicutes
266,ERS1066656,ET-Firmicutes
267,ERS1066657,ET-Firmicutes
268,ERS1066661,ET-Firmicutes
269,ERS1066662,ET-Firmicutes
270,ERS1066663,ET-Firmicutes
271,ERS1066664,ET-Firmicutes
272,ERS1066666,ET-Firmicutes
273,ERS1066667,ET-Firmicutes
274,ERS1066668,ET-Firmicutes
275,ERS1066669,ET-Firmicutes
276,ERS1066670,ET-Firmicutes
277,ERS1066671,ET-Firmicutes
278,ERS1066672,ET-Firmicutes
279,ERS1066673,ET-Firmicutes
280,ERS1066674,ET-Firmicutes
281,ERS1066675,ET-Firmicutes
282,ERS1066676,ET-Firmicutes
283,ERS1066677,ET-Firmicutes
284,ERS1066678,ET-Firmicutes
285,ERS1066681,ET-Firmicutes
286,ERS1066683,ET-Firmicutes
287,ERS1066685,ET-Firmicutes
288,ERS1066686,ET-Firmicutes
289,ERS1066687,ET-Firmicutes
290,ERS1066688,ET-Firmicutes
